"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"X8411.T",0,0,0,0,0,0,0,0,0,0,0,0,0.00762077106548467,0.00607761699673867,0,0.98574216590267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000559446035106688,0,0,0,0,0,0,0,0,0,0,0
"X8316.T",0,0,0,0,0,0,0,0,0,0,0,0,0.00629670648616163,0.00791844975125714,0,0,0.980638854089959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198887804348397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315711162913871,0,0,0,0,0,0,0,0,0,0,0
"X8308.T",0,0,0,0,0,0,0,0,0,5.34167813803802e-05,0,0,4.17099134195466e-06,0.00888586807826993,0,0,0,0.965933481600031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227855346840316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233752786494531,0,0,0,0,0,0,0,0,0,0,0
"X8604.T",0,0,0,0,0,0,0,0,0,0.000368132239362763,0,0,0.000378495812577712,0.000830356572876151,0,0,0,0,0.987164992137178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011258023238005,0,0,0,0,0,0,0,0,0,0,0
"X8309.T",0,0,0,0,0,0,0,0,0,0,0,0,0.000244294970557342,0.00378779347256205,0,0,0,0,0,0.962254757228957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336759846504286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71696774950196e-05,0,0,0,0,0,0,0,0,0,0,0
"X8331.T",0,0,0,0,0,0,0,0,0,0.00886972692503908,0,0,0.00730875127425658,0.000319305005780961,0,0,0,0,0,0,0.98098541802658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000613548820515442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190324994782767,0,0,0,0,0,0,0,0,0,0,0
"X8377.T",0,0,0,0,0,0,0,0,0,0.000335132627158408,0,0,0,0.0407526031008093,0,0,0,0,0,0,0,0.958897456707698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48075643345584e-05,0,0,0,0,0,0,0,0,0,0,0
"X8355.T",0,0,0,0,0,0,0,0,0,0.000122875306075287,0,0,0.00893091053404477,0,0,0,0,0,0,0,0,0,0.990802687669662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23866613578006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11398288603208e-05,0,0,0,0,0,0,0,0,0,0,0
"X8418.T",0,0,0,0,0,0,0,0,0,0.0120200764997746,0,0,0.00212541275462338,0.000422708573785926,0,0,0,0,0,0,0,0,0,0.985264476594063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000167325577753461,0,0,0,0,0,0,0,0,0,0,0
"TD.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RY.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNS.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMO.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CM.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA.TO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCG.MI",0,0,0,0,0,0,0,0,0,0.00123729865638028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99876270134362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
