,JPM,BAC,C,WFC,GS,MS,BK,USB,PNC,COF,STT,AXP,FITB,RF,X8306.T,X8411.T,X8316.T,X8308.T,X8604.T,X8309.T,X8331.T,X8377.T,X8355.T,X8418.T,TD.TO,RY.TO,BNS.TO,BMO.TO,CM.TO,NA.TO,UCG.MI,ISP.MI,UNI.MI,MB.MI,NAB.AX,CBA.AX,ANZ.AX,WBC.AX,MQG.AX,X600036.SS,X600000.SS,X600016.SS,X600015.SS,HSBA.L,BARC.L,LLOY.L,STAN.L,SAN.MC,BBVA.MC,SAB.MC,SHB.A.ST,SEB.A.ST,SWED.A.ST,BNP.PA,ACA.PA,X055550.KS,X024110.KS,UBSG.SW,CSGN.SW,KBC.BR,ITUB4.SA,BBDC4.SA,DBK.DE,CBK.DE,BIRG.IR,SBIN.NS,BANKBARODA.NS,D05.SI,U11.SI,EBS.VI,DANSKE.CO,INGA.AS,DNB.OL,SBER.ME,ISCTR.IS,SBK.JO
DBK.DE,0,0,1.79E-17,0,0,0,0,0,0,6.70E-10,0,7.23E-07,1.53E-09,6.27E-07,0,0,0,0,4.63E-06,0,0,0,0,0,0,5.46E-18,0,0,9.20E-10,0,0.000490073,1.27E-09,5.29E-15,0.001831893,4.53E-14,0,1.37E-11,0.000575616,3.33E-09,0,0,0,0,0,0,0,0,0,4.10E-10,5.56E-09,0,0,2.12E-09,0,0,0,0,0,0,1.92E-22,0,0,0.99709596,0,0,3.19E-07,1.40E-13,0,0,1.40E-07,0,1.20E-11,0,0,0,0
CBK.DE,0,0,2.50E-15,9.62E-06,0,0,0,0,0,2.65E-12,0,2.77E-12,4.78E-14,1.30E-06,0,0,0,0,9.05E-06,0,0,0,0,0,0,1.63E-22,0,0,1.34E-07,0,2.31E-08,3.74E-09,2.06E-17,0.0038005,1.20E-13,0,2.95E-09,4.24E-11,8.82E-09,0,0,0,0,0,0,0,0,0,8.50E-10,5.57E-07,0,0,1.48E-15,0,0,0,0,0,0,2.64E-27,0,0,0,0.996178527,0,1.02E-11,1.95E-11,0,0,2.73E-07,0,4.72E-14,0,0,0,0
BIRG.IR,0,0,3.63E-13,0,0,0,0,0,0,0.003335309,0,7.63E-09,4.41E-12,8.36E-07,0,0,0,0,5.82E-06,0,0,0,0,0,0,1.56E-20,0,0,2.09E-05,0,1.52E-06,0.001790519,4.57E-05,0.002445342,6.80E-14,0,5.58E-06,1.99E-07,5.00E-09,0,0,0,0,0,0,0,0,0,5.46E-10,5.18E-07,0,0,4.86E-06,0,0,0,0,0,0,5.43E-25,0,0,0,0,0.992282753,9.22E-10,2.82E-09,0,0,2.43E-07,0,5.98E-05,0,0,0,0
SBIN.NS,0,0,1.05E-12,0,0,0,0,0,0,0.001965661,0,0.001313067,0.004515017,1.63E-05,0,0,0,0,0.000113502,0,0,0,0,0,0,1.62E-11,0,0,2.30E-05,0,4.67E-07,9.61E-05,1.56E-08,0.047688559,4.49E-10,0,1.02E-05,5.20E-06,3.30E-05,0,0,0,0,0,0,0,0,0,1.07E-08,4.29E-06,0,0,1.33E-05,0,0,0,0,0,0,5.67E-16,0,0,0,0,0,0.944163502,8.21E-09,0,0,3.40E-06,0,3.53E-05,0,0,0,0
BANKBARODA.NS,0,0,0.000125656,0,0,0,0,0,0,2.35E-07,0,6.49E-09,5.24E-11,0.003007176,0,0,0,0,4.48E-05,0,0,0,0,0,0,1.87E-19,0,0,2.17E-06,0,6.38E-06,1.94E-05,1.86E-12,0.018844174,2.15E-10,0,6.84E-06,7.76E-08,1.58E-05,0,0,0,0,0,0,0,0,0,1.97E-06,2.66E-05,0,0,5.19E-10,0,0,0,0,0,0,6.44E-24,0,0,0,0,0,1.10E-08,0.977897311,0,0,1.35E-06,0,4.21E-09,0,0,0,0
D05.SI,0,0,2.73E-12,0,0,0,0,0,0,0.025151466,0,4.80E-08,2.26E-11,5.55E-07,0,0,0,0,3.86E-06,0,0,0,0,0,0,8.03E-20,0,0,0.000157854,0,7.49E-06,1.40E-05,2.14E-05,0.001619095,5.33E-14,0,3.37E-05,1.50E-06,3.92E-09,0,0,0,0,0,0,0,0,0,3.63E-10,3.16E-07,0,0,3.66E-05,0,0,0,0,0,0,2.82E-24,0,0,0,0,0,4.73E-09,2.13E-08,0.972500748,0,1.62E-07,0,0.00045116,0,0,0,0
U11.SI,0,0,7.28E-13,0,0,0,0,0,0,0.00070403,0,4.75E-09,0.000866256,0.000470554,0,0,0,0,9.80E-07,0,0,0,0,0,0,3.10E-12,0,0,4.42E-06,0,1.80E-06,3.10E-05,5.59E-09,0.000403623,2.27E-10,0,4.02E-06,1.20E-07,1.67E-05,0,0,0,0,0,0,0,0,0,3.11E-07,8.51E-06,0,0,1.03E-06,0,0,0,0,0,0,1.09E-16,0,0,0,0,0,7.75E-09,5.66E-09,0,0.997474005,3.08E-08,0,1.26E-05,0,0,0,0
EBS.VI,0,0,6.39E-14,0,0,0,0,0,0,0.000587346,0,2.92E-08,9.63E-08,2.29E-08,0,0,0,0,4.43E-07,0,0,0,0,0,0,3.44E-16,0,0,3.69E-06,0,0.030928484,3.28E-07,4.67E-09,6.75E-05,1.55E-14,0,7.86E-07,3.51E-08,1.14E-09,0,0,0,0,0,0,0,0,0,1.51E-11,2.28E-09,0,0,8.56E-07,0,0,0,0,0,0,1.21E-20,0,0,0,0,0,2.01E-05,4.97E-10,0,0,0.968379724,0,1.05E-05,0,0,0,0
DANSKE.CO,0,0,3.77E-12,0.001716243,0,0,0,0,0,7.79E-11,0,5.27E-13,5.58E-13,1.34E-07,0,0,0,0,9.32E-07,0,0,0,0,0,0,1.96E-21,0,9.34E-06,2.40E-05,0,2.54E-07,1.24E-07,6.16E-16,0.000389899,1.52E-13,0,3.07E-10,4.71E-11,1.12E-08,0,0,0,0,0,0,0,0,0,8.78E-11,2.19E-05,0,0,1.35E-13,0,9.18E-07,0,0,0,0,6.87E-26,0,0.001024272,0,0,0,1.17E-10,2.93E-08,0,0,2.81E-08,0.996811911,1.39E-12,0,0,0,0
INGA.AS,0,0,6.23E-16,0,0,0,0,0,0,5.16E-06,0,1.37E-08,4.71E-08,1.81E-07,0,0,0,0,2.17E-06,0,0,0,0,0,0,1.68E-16,0,0,3.25E-08,0,0.01511611,4.60E-09,0.000435654,0.000529218,4.17E-14,0,7.39E-09,3.78E-10,3.07E-09,0,0,0,0,0,0,0,0,0,1.18E-10,4.77E-06,0,0,7.63E-09,0,0,0,0,0,0,5.91E-21,0,0,0,0,0,9.84E-06,4.85E-12,0,0,9.93E-05,0,0.983797499,0,0,0,0
DNB.OL,0,0,4.18E-17,0,0,0,0,0,0,2.37E-12,0,8.52E-13,1.35E-14,3.99E-07,0,0,0,0,2.77E-06,0,0,0,0,0,0,4.66E-23,0,0,8.02E-15,0,3.68E-09,9.35E-10,1.88E-17,0.001164857,2.85E-14,0,9.05E-10,1.03E-11,2.10E-09,0,0,0,0,0,0,0,0,0,2.61E-10,3.53E-09,0,0,1.41E-16,0,0,0,0,0,0,8.01E-28,0,0,0,0,0,2.89E-12,3.25E-13,0,0,8.35E-08,0,4.25E-14,0.998831877,0,0,0
SBER.ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ISCTR.IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SBK.JO,0,0,2.43E-14,0,0,0,0,0,0,0.000219856,0,4.89E-10,2.15E-10,1.15E-06,0,0,0,0,8.05E-06,0,0,0,0,0,0,7.68E-19,0,0,1.38E-06,0,7.00E-05,1.27E-07,9.72E-05,0.003375396,8.92E-14,0,3.01E-07,1.31E-08,6.56E-09,0,0,0,0,0,0,0,0,0,7.55E-10,1.08E-06,0,0,3.20E-07,0,0,0,0,0,0,2.68E-23,0,0,0,0,0,4.49E-08,1.89E-10,0,0,0.002181964,0,3.94E-06,0,0,0,0.994039196
