,JPM,BAC,C,WFC,GS,MS,BK,USB,PNC,COF,STT,AXP,FITB,RF,X8306.T,X8411.T,X8316.T,X8308.T,X8604.T,X8309.T,X8331.T,X8377.T,X8355.T,X8418.T,TD.TO,RY.TO,BNS.TO,BMO.TO,CM.TO,NA.TO,UCG.MI,ISP.MI,UNI.MI,MB.MI,NAB.AX,CBA.AX,ANZ.AX,WBC.AX,MQG.AX,X600036.SS,X600000.SS,X600016.SS,X600015.SS,HSBA.L,BARC.L,LLOY.L,STAN.L,SAN.MC,BBVA.MC,SAB.MC,SHB.A.ST,SEB.A.ST,SWED.A.ST,BNP.PA,ACA.PA,X055550.KS,X024110.KS,UBSG.SW,CSGN.SW,KBC.BR,ITUB4.SA,BBDC4.SA,DBK.DE,CBK.DE,BIRG.IR,SBIN.NS,BANKBARODA.NS,D05.SI,U11.SI,EBS.VI,DANSKE.CO,INGA.AS,DNB.OL,SBER.ME,ISCTR.IS,SBK.JO
X8308.T,0,0,3.79E-12,7.61E-10,0,0,0,0,0,8.40E-06,0,7.85E-09,0.013151191,0.003043652,0,0,0,0.971384186,5.46E-06,0,0,0,0,0,0,4.70E-11,0,0,5.47E-08,0,0.000389017,0.000317814,6.68E-11,0.002149274,2.59E-09,0,6.92E-06,7.78E-07,0.000190169,0,0,0,0,0,0,0,0,0,2.03E-06,7.41E-05,0,0,1.28E-08,0,0,0,0,0,0,1.65E-15,0,0,0,7.88E-05,0,3.27E-07,2.95E-08,0,0,0.009197652,0,1.51E-07,0,0,0,0
X8604.T,0,0,1.93E-15,0,0,0,0,0,0,1.77E-05,0,8.80E-10,2.91E-09,6.90E-10,0,0,0,0,0.969822915,0,0,0,0,0,0,1.04E-17,0,0,1.11E-07,0,0.000933332,9.91E-09,1.41E-10,2.04E-06,4.69E-16,0,2.37E-08,1.06E-09,3.45E-11,0,0,0,0,0,0,0,0,0,4.55E-13,6.87E-11,0,0,2.58E-08,0,0,0,0,0,0,3.65E-22,0,0,0,0,0,6.08E-07,1.50E-11,0,0,0.02922289,0,3.18E-07,0,0,0,0
X8309.T,0,0,1.06E-12,0.001934873,0,0,0,0,0,1.14E-07,0,1.29E-10,0.000832646,2.40E-07,0,0,0,0,1.75E-06,0.984183879,0,0,0,0,0,2.98E-12,0,0,2.70E-05,0,0.000108347,1.75E-05,3.08E-06,0.000701122,8.27E-11,0,7.88E-10,2.39E-08,6.08E-06,0,0,0,0,0,0,0,0,0,1.68E-10,3.46E-05,0,0,1.68E-10,0,0,0,0,0,0,1.05E-16,0,0,0,0.005190426,0,7.27E-08,8.28E-09,0,0,7.55E-07,0,0.006957447,0,0,0,0
X8331.T,0,0,2.83E-12,0.000147797,0,0,0,0,0,1.66E-06,0,8.22E-10,0.014572411,1.56E-05,0,0,0,0,4.75E-06,0,0.976676172,0,0,0,0,5.21E-11,0,0,2.07E-06,0,6.80E-07,0.000263814,1.32E-11,0.001989,1.52E-09,0,4.37E-08,4.52E-07,0.000112026,0,0,0,0,0,0,0,0,0,1.31E-08,2.90E-05,0,0,2.47E-09,0,0,0,0,0,0,1.83E-15,0,0,0,0.006184337,0,4.32E-08,2.20E-08,0,0,1.43E-07,0,2.98E-08,0,0,0,0
X8377.T,0,0,1.53E-12,0.003543274,0,0,0,0.001022142,0,1.65E-10,0,9.68E-13,1.20E-12,2.24E-07,0,0,0,0,1.56E-06,0,0,0.993823203,0,0,0,4.20E-21,0,0,8.83E-05,0,5.38E-07,1.85E-06,1.30E-15,0.000653573,3.00E-13,0,5.09E-10,9.27E-11,2.20E-08,0,0,0,0,0,0,0,0,0,1.46E-10,4.55E-05,0,0,2.81E-13,0,0,0,0,0,0,1.47E-25,0,0,0,0.00081968,0,2.50E-10,1.19E-08,0,0,4.71E-08,0,2.95E-12,0,0,0,0
X8355.T,0,0,2.10E-17,8.09E-08,0,0,0,0,0,2.22E-14,0,2.33E-14,3.84E-16,1.09E-08,0,0,0,0,7.61E-08,0,0,0,0.991593184,0,0,6.32E-25,0,0,1.13E-09,0,1.94E-10,3.15E-11,1.64E-19,3.20E-05,1.01E-15,0,2.48E-11,3.56E-13,7.42E-11,0,0,0,0,0,0,0,0,0,7.15E-12,4.68E-09,0,0,1.20E-17,0,0,0,0,0,0,6.70E-32,0,0,0,0.00837469,0,8.41E-14,1.64E-13,0,0,2.29E-09,0,3.91E-16,0,0,0,0
X8418.T,0,0,3.99E-12,0.000270456,0,0,0,0,0,2.27E-06,0,9.25E-09,0.008415892,0.003886362,0,0,0,0,5.23E-06,0,0,0,0,0.984199216,0,3.01E-11,0,0,3.79E-06,0,1.03E-05,0.000233558,1.80E-11,0.002143503,2.08E-09,0,8.84E-06,6.61E-07,0.000152598,0,0,0,0,0,0,0,0,0,2.57E-06,0.000109588,0,0,3.89E-09,0,0,0,0,0,0,1.06E-15,0,0,0,0.00055484,0,6.58E-08,3.11E-08,0,0,1.58E-07,0,4.07E-08,0,0,0,0
TD.TO,0,0,8.98E-09,0,0,0,0,0,0,1.85E-09,0,7.60E-10,3.64E-09,1.20E-05,0,0,0,0,6.28E-05,0,0,0,0,0,0.966974944,1.30E-17,0,0,0.005350826,0,0.001168154,3.37E-08,1.47E-14,0.026358562,8.60E-13,0,2.74E-08,3.18E-10,6.33E-08,0,0,0,0,0,0,0,0,0,7.84E-09,1.06E-07,0,0,9.81E-12,0,0,0,0,0,0,4.57E-22,0,0,0,0,0,7.61E-07,6.99E-05,0,0,1.89E-06,0,3.32E-11,0,0,0,0
RY.TO,0,0,5.80E-13,0,0,0,0,0,0,1.65E-08,0,2.63E-07,2.74E-08,4.91E-06,0,0,0,0,3.44E-05,0,0,0,0,0,0,0.973999544,0,0,4.52E-10,0,0.008746519,0.000903039,1.31E-13,0.014335824,1.05E-11,0,0.000102591,3.14E-05,7.72E-07,0,0,0,0,0,0,0,0,0,3.21E-09,0.001799671,0,0,8.05E-10,0,0,0,0,0,0,3.42E-05,0,0,0,0,0,5.73E-06,4.51E-09,0,0,1.04E-06,0,2.96E-10,0,0,0,0
BNS.TO,0,0,1.19E-07,0,0,0,0,0,0,2.09E-10,0,4.49E-11,5.63E-10,1.89E-05,0,0,0,0,5.00E-05,0,0,0,0,0,0,2.02E-18,0.977725571,0,2.04E-09,0,0.000181607,1.91E-05,1.64E-15,0.020973279,3.27E-12,0,4.30E-08,1.10E-09,2.41E-07,0,0,0,0,0,0,0,0,0,1.24E-08,0.000107037,0,0,6.22E-14,0,0,0,0,0,0,7.07E-23,0,0,0,0,0,1.18E-07,0.000922478,0,0,1.51E-06,0,3.75E-12,0,0,0,0
BMO.TO,0,0,1.73E-07,0,0,0,0,0,0,8.86E-11,0,6.79E-11,7.53E-13,3.15E-05,0,0,0,0,8.99E-05,0,0,0,0,0,0,2.60E-21,0,0.959560996,0.00120382,0,1.54E-07,1.13E-07,6.99E-16,0.037764919,2.26E-12,0,7.16E-08,8.13E-10,1.66E-07,0,0,0,0,0,0,0,0,0,2.06E-08,2.79E-07,0,0,6.32E-13,0,0,0,0,0,0,6.61E-26,0,0,0,0,0,1.59E-10,0.001345189,0,0,2.71E-06,0,1.59E-12,0,0,0,0
CM.TO,0,0,1.71E-08,0,0,0,0,0,0,9.61E-13,0,1.61E-11,2.03E-13,7.51E-06,0,0,0,0,3.08E-05,0,0,0,0,0,0,6.98E-22,0,0,0.986867696,0,4.73E-08,2.34E-08,6.36E-18,0.01295982,5.37E-13,0,1.70E-08,1.94E-10,3.95E-08,0,0,0,0,0,0,0,0,0,4.91E-09,6.64E-08,0,0,5.60E-14,0,0,0,0,0,0,1.54E-26,0,0,0,0,0,4.31E-11,0.000132987,0,0,9.29E-07,0,1.63E-14,0,0,0,0
NA.TO,0,0,8.86E-07,0,0,0,0,0,0,9.47E-10,0,1.63E-10,1.58E-12,7.59E-05,0,0,0,0,0.000118888,0,0,0,0,0,0,5.47E-21,0,0,1.53E-08,0.942949923,2.80E-07,3.23E-07,7.51E-15,0.049952767,5.43E-12,0,1.72E-07,1.96E-09,4.00E-07,0,0,0,0,0,0,0,0,0,4.96E-08,6.72E-07,0,0,3.44E-12,0,0,0,0,0,0,1.58E-25,0,0,0,0,0,3.34E-10,0.006896156,0,0,3.58E-06,0,1.70E-11,0,0,0,0
UCG.MI,0,0,1.03E-15,0,0,0,0,0,0,1.35E-06,0,9.04E-07,3.11E-06,3.82E-07,0,0,0,0,1.18E-05,0,0,0,0,0,0,1.11E-14,0,0,1.59E-08,0,0.998215381,8.05E-08,1.08E-11,0.001116385,5.10E-13,0,7.94E-09,3.95E-09,3.75E-08,0,0,0,0,0,0,0,0,0,2.56E-10,1.22E-08,0,0,9.19E-09,0,0,0,0,0,0,3.91E-19,0,0,0,0,0,0.000650126,7.99E-12,0,0,3.56E-07,0,2.43E-08,0,0,0,0
ISP.MI,0,0,1.61E-17,0,0,0,0,0,0,2.33E-10,0,1.53E-10,5.33E-10,1.49E-07,0,0,0,0,1.12E-06,0,0,0,0,0,0,1.91E-18,0,0,2.72E-12,0,0.000171229,0.999390696,1.84E-15,0.000436659,1.10E-14,0,3.40E-10,4.94E-12,8.07E-10,0,0,0,0,0,0,0,0,0,9.77E-11,1.33E-09,0,0,1.57E-12,0,0,0,0,0,0,6.70E-23,0,0,0,0,0,1.11E-07,1.25E-13,0,0,3.37E-08,0,4.19E-12,0,0,0,0
UNI.MI,0,0,6.22E-14,0,0,0,0,0,0,4.64E-08,0,1.04E-10,2.89E-10,4.10E-08,0,0,0,0,3.23E-07,0,0,0,0,0,0,1.03E-18,0,0,2.92E-10,0,0.00012062,3.51E-11,0.988921312,0.000120103,4.25E-11,0,1.73E-10,1.25E-08,3.12E-06,0,0,0,0,0,0,0,0,0,2.68E-11,0.010834346,0,0,6.84E-11,0,0,0,0,0,0,3.61E-23,0,0,0,0,0,6.04E-08,4.84E-10,0,0,9.72E-09,0,8.33E-10,0,0,0,0
MB.MI,0,0,3.58E-14,0,0,0,0,0,0,2.03E-09,0,7.30E-10,1.19E-11,0.000341152,0,0,0,0,0.002373355,0,0,0,0,0,0,4.24E-20,0,0,6.91E-12,0,3.15E-06,8.01E-07,1.61E-14,0.997204197,2.44E-11,0,7.75E-07,8.81E-09,1.80E-06,0,0,0,0,0,0,0,0,0,2.23E-07,3.02E-06,0,0,1.43E-13,0,0,0,0,0,0,1.45E-24,0,0,0,0,0,2.48E-09,2.78E-10,0,0,7.15E-05,0,3.64E-11,0,0,0,0
NAB.AX,0,0,2.38E-14,0,0,0,0,0,0,2.62E-06,0,0.00080849,5.23E-13,1.33E-05,0,0,0,0,9.25E-05,0,0,0,0,0,0,1.79E-21,0,0,1.30E-06,0,1.47E-07,6.18E-06,2.08E-11,0.038849173,0.96021757,0,1.61E-06,1.56E-06,6.99E-08,0,0,0,0,0,0,0,0,0,8.69E-09,1.22E-07,0,0,2.56E-06,0,0,0,0,0,0,3.49E-26,0,0,0,0,0,1.12E-10,1.85E-10,0,0,2.79E-06,0,4.70E-08,0,0,0,0
CBA.AX,0,0,1.43E-15,0,0,0,0,0,0,7.88E-11,0,2.21E-06,4.41E-13,1.32E-05,0,0,0,0,9.20E-05,0,0,0,0,0,0,1.53E-21,0,0,2.78E-09,0,1.16E-07,4.73E-08,6.23E-16,0.038654057,9.46E-13,0.959479285,3.40E-08,0.001756055,6.96E-08,0,0,0,0,0,0,0,0,0,8.64E-09,1.19E-07,0,0,6.46E-09,0,0,0,0,0,0,2.74E-26,0,0,0,0,0,9.41E-11,1.12E-11,0,0,2.77E-06,0,1.41E-12,0,0,0,0
ANZ.AX,0,0,2.08E-14,0,0,0,0,0,0,1.47E-09,0,0.000876269,3.19E-09,1.51E-05,0,0,0,0,0.00010507,0,0,0,0,0,0,1.14E-17,0,0,1.11E-06,0,1.52E-07,6.49E-06,1.16E-14,0.044146954,1.12E-12,0,0.954739486,0.00010273,8.21E-08,0,0,0,0,0,0,0,0,0,9.87E-09,1.40E-07,0,0,2.57E-06,0,0,0,0,0,0,4.00E-22,0,0,0,0,0,6.66E-07,1.62E-10,0,0,3.17E-06,0,2.63E-11,0,0,0,0
WBC.AX,0,0,2.76E-14,0,0,0,0,0,0,4.94E-11,0,0.001224223,3.18E-13,8.23E-06,0,0,0,0,5.73E-05,0,0,0,0,0,0,1.08E-21,0,0,1.55E-06,0,8.86E-08,9.04E-06,3.91E-16,0.024058947,5.88E-13,0,2.19E-06,0.974633031,4.33E-08,0,0,0,0,0,0,0,0,0,5.38E-09,7.96E-08,0,0,3.59E-06,0,0,0,0,0,0,2.08E-26,0,0,0,0,0,6.79E-11,2.15E-10,0,0,1.73E-06,0,8.84E-13,0,0,0,0
MQG.AX,0,0,1.89E-08,0,0,0,0,0,0,0.01409147,0,6.80E-06,1.73E-06,1.60E-05,0,0,0,0,7.76E-05,0,0,0,0,0,0,6.20E-15,0,0,8.85E-05,0,4.90E-06,8.01E-06,1.12E-07,0.032592177,1.29E-05,0,7.00E-05,0.003802449,0.948441817,0,0,0,0,0,0,0,0,0,1.05E-08,2.20E-07,0,0,2.06E-05,0,0,0,0,0,0,2.18E-19,0,0,0,0,0,0.000362267,0.000146951,0,0,2.84E-06,0,0.000252769,0,0,0,0
X600036.SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSBA.L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARC.L,0,0,4.77E-13,0,0,0,0,0,0,0.004389572,0,1.21E-07,2.17E-08,2.20E-06,0,0,0,0,2.31E-05,0,0,0,0,0,0,7.75E-17,0,0,2.75E-05,0,0.007012893,2.44E-06,3.49E-08,0.006426693,1.60E-13,0.001874503,0.000107351,4.10E-06,1.18E-08,0,0,0,0,0,0.980038844,0,0,0,1.44E-09,3.31E-08,0,0,6.40E-06,0,0,0,0,0,0,2.72E-21,0,0,0,0,0,4.53E-06,3.71E-09,0,0,8.31E-07,0,7.87E-05,0,0,0,0
LLOY.L,0,0,1.28E-14,0,0,0,0,0,0,0.000115648,0,1.12E-09,2.16E-10,2.25E-06,0,0,0,0,1.58E-05,0,0,0,0,0,0,7.71E-19,0,0,7.26E-07,0,6.95E-05,6.93E-08,9.19E-10,0.0065661,1.61E-13,0.000358332,1.60E-07,6.69E-07,1.18E-08,0,0,0,0,0,0,0.992867839,0,0,1.47E-09,2.02E-08,0,0,1.68E-07,0,0,0,0,0,0,2.71E-23,0,0,0,0,0,4.51E-08,9.96E-11,0,0,5.43E-07,0,2.07E-06,0,0,0,0
STAN.L,0,0,1.83E-18,0,0,0,0,0,0,1.04E-13,0,3.74E-14,5.93E-16,1.75E-08,0,0,0,0,1.22E-07,0,0,0,0,0,0,2.04E-24,0,0,3.52E-16,0,1.62E-10,4.10E-11,8.23E-19,5.11E-05,1.25E-15,0,3.97E-11,4.51E-13,9.20E-11,0,0,0,0,0,0,0,0.999948766,0,1.14E-11,1.55E-10,0,0,6.17E-18,0,0,0,0,0,0,3.51E-29,0,0,0,0,0,1.27E-13,1.43E-14,0,0,3.66E-09,0,1.86E-15,0,0,0,0
SAN.MC,0,0,1.61E-16,0,0,0,0,0,0,8.92E-09,0,5.91E-09,2.04E-08,1.43E-06,0,0,0,0,1.15E-05,0,0,0,0,0,0,7.31E-17,0,0,1.04E-10,0,0.006564614,4.17E-09,7.05E-14,0.004190623,1.10E-13,0,3.30E-09,7.07E-11,8.06E-09,0,0,0,0,0,0,0,0,0.989227127,9.37E-10,1.29E-08,0,0,6.02E-11,0,0,0,0,0,0,2.57E-21,0,0,0,0,0,4.27E-06,1.26E-12,0,0,3.47E-07,0,1.60E-10,0,0,0,0
BBVA.MC,0,0,2.33E-16,0,0,0,0,0,0,9.85E-09,0,5.30E-09,1.84E-08,2.00E-06,0,0,0,0,0.000115576,0,0,0,0,0,0,6.57E-17,0,0,1.05E-10,0,0.005901779,5.61E-09,7.78E-14,0.005834677,1.50E-13,0,4.78E-09,8.39E-11,1.10E-08,0,0,0,0,0,0,0,0,0,0.988138572,1.79E-08,0,0,5.67E-11,0,0,0,0,0,0,2.31E-21,0,0,0,0,0,3.84E-06,1.82E-12,0,0,3.48E-06,0,1.77E-10,0,0,0,0
SAB.MC,0,0,5.61E-12,0,0,0,0,0,0,4.19E-06,0,9.40E-09,2.61E-08,3.70E-06,0,0,0,0,2.92E-05,0,0,0,0,0,0,9.33E-17,0,0,2.64E-08,0,0.010887591,3.19E-09,3.33E-11,0.010840951,3.83E-09,0,1.56E-08,1.13E-06,0.000281858,0,0,0,0,0,0,0,0,0,2.42E-09,0.977944877,0,0,6.17E-09,0,0,0,0,0,0,3.28E-21,0,0,0,0,0,5.45E-06,4.37E-08,0,0,8.78E-07,0,7.52E-08,0,0,0,0
SHB.A.ST,0,0,1.12E-14,0,0,0,0,0,0,7.90E-09,0,1.81E-11,4.95E-11,6.02E-08,0,0,0,0,4.48E-07,0,0,0,0,0,0,1.77E-19,0,0,4.99E-11,0,2.08E-05,1.25E-10,6.26E-14,0.000175872,7.63E-12,0,1.43E-10,2.26E-09,5.61E-07,0,0,0,0,0,0,0,0,0,3.93E-11,0.001865293,0.997936953,0,1.18E-11,0,0,0,0,0,0,6.17E-24,0,0,0,0,0,1.03E-08,8.69E-11,0,0,1.35E-08,0,1.42E-10,0,0,0,0
SEB.A.ST,0,0,6.10E-17,0,0,0,0,0,0,4.90E-09,0,3.25E-09,1.12E-08,5.28E-07,0,0,0,0,4.37E-06,0,0,0,0,0,0,4.02E-17,0,0,5.73E-11,0,0.003607732,1.66E-09,3.87E-14,0.001543939,4.13E-14,0,1.22E-09,3.14E-11,3.04E-09,0,0,0,0,0,0,0,0,0,3.45E-10,4.76E-09,0,0.994840916,3.31E-11,0,0,0,0,0,0,1.41E-21,0,0,0,0,0,2.35E-06,4.76E-13,0,0,1.32E-07,0,8.79E-11,0,0,0,0
