"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"X8309.T",0,0,0,0.0010720707361797,0,0.00227936296460236,0.00347425194865269,0,1.49404617092958e-12,0.010884331688681,0.00222891010465091,1.1058365925452e-06,0.00040109915543174,0.00301834529149487,0,0,0,0,9.58989318262556e-05,0.890740202379645,1.32884970241126e-07,0,0,0,0,0,0,0,0.0176997032906555,0,7.02824647470389e-07,0.000473909511359144,1.80132484441695e-05,0.0463989161466201,0.000480821963137038,2.43776856971104e-05,0,4.51070944972011e-08,0.000256604022533343,0,0,0,0,0,9.06449386098046e-09,0,1.01497095657783e-05,1.01307995889563e-05,0,0.00338023614077451,2.84276907202038e-07,0,0,0,0,1.20601217654192e-06,0.000182643306784138,0,2.32957648305051e-08,3.37373494994726e-10,1.86932373436208e-05,0.00948804570243506,3.2490764861146e-05,0.00396763783568033,4.09202487037264e-05,0.00182681582524771,2.13101828159064e-05,0,5.44190149098533e-07,8.04671921226277e-08,0,0.00099635309548509,0.000472964426128575,1.57361694697918e-07,1.69536960126645e-10,4.9782488672996e-07
"X8331.T",0,0,0,2.08964375132708e-09,0,5.4675329316669e-07,3.13817626183249e-12,0,4.23466539871392e-13,1.08393110234749e-08,8.66766645719367e-05,2.3935824974868e-08,0.0342238800665489,0.0010166402897325,0,0,0,0,2.70584822590769e-05,8.05685660463387e-10,0.940776016837493,0,0,0,0,0,0,0,0.00364180475699157,0,3.07845126453817e-10,9.43225329215074e-05,4.33435586607791e-06,0.013357587658659,0.000137114005092831,4.99380397183429e-06,0,3.3615514353455e-11,0.00010709555438198,0,0,0,0,0,4.39627235340057e-10,0,3.21876436040703e-06,1.24365121500347e-06,0,0.000849315822665128,8.02153614884987e-08,0,0,0,0,4.14074519394315e-07,1.95615292868849e-05,0,6.21697913979466e-09,9.5195688769929e-11,2.8335464261412e-07,2.04944261387787e-09,6.88102260740082e-06,0.00522837688807647,3.19034638085834e-08,3.95666437057142e-05,4.46429980000763e-06,0,4.23023357608854e-07,2.27056955403474e-08,0,1.26773732416488e-06,0.00036624448626687,4.44032733748053e-08,3.55163014569673e-11,4.40860346054248e-07
"X8377.T",0,0,0.00429658546735597,2.28205904178405e-06,0,0.0201314820097808,3.30187550628986e-12,0,6.05701533085373e-13,1.79612635135296e-08,7.09044213147259e-07,2.51895935824886e-08,0.000305516456730136,0.00146223783421195,0,0,0,0,3.87272932400329e-05,8.47887815173312e-10,3.02695571494052e-09,0.938760094039336,0,0,0,0,0,0,0.00488031415154275,0,1.70106612488806e-09,0.000128333317357171,5.66607039586085e-06,0.0174508962236523,0.000179685107865117,6.31206948375681e-06,0,7.73947728081668e-11,0.00021345371538311,0,0,0,0,0,1.25526696230949e-09,0,4.64960310616919e-06,2.61954018483265e-06,0,0.00151042226801827,1.14808125295442e-07,0,0,0,0,7.1830251699734e-07,5.56335528102486e-05,0,9.63771901065588e-09,1.36310644706293e-10,2.9243803510499e-06,6.24592297889214e-09,1.1659900338877e-05,9.24084065316761e-05,7.17363647766346e-08,4.16372889723691e-05,7.85683848784829e-08,0,1.08144444795442e-07,3.24974953692644e-08,0,0.0102445673886496,0.000169920963121094,6.35521236649085e-08,6.24422237220638e-13,8.154957002891e-09
"X8355.T",0,0,0.000167261098100785,9.00129944216008e-08,0,0.000783663268758582,8.06500886416394e-12,0,2.11657694298372e-13,6.65273714309368e-09,0.000412175379947272,6.14341453483507e-08,0.00136349024981836,0.000321275574341305,0,0,0,0,1.39011341605965e-05,2.06788819779388e-09,7.38235163444448e-09,0,0.974518655285552,0,0,0,0,0,0.00108603796780661,0,9.89273426840955e-10,2.92739679894533e-05,2.1251921459465e-06,0.00646939789712732,6.62448738384317e-05,1.52822147167935e-06,0,3.02468703082499e-10,0.000207284880543467,0,0,0,0,0,1.67820831422295e-10,0,1.01912827496195e-06,1.64072708312821e-06,0,0.000514494438901116,4.11898631689401e-08,0,0,0,0,2.03778610624037e-07,0.000113033198518447,0,6.0357788848686e-09,4.87908185397024e-11,1.58418177741607e-06,1.30262411410737e-08,4.06508445858432e-06,0.0109557747298443,2.75712293496756e-07,0.000101486283893293,2.62770855384766e-06,0,7.93323977147041e-07,1.16591694546763e-08,0,0.00272847030056445,0.000131027715841338,2.28006795783562e-08,2.09052518860535e-11,9.24896420865969e-07
"X8418.T",0,0,0.000239096101843354,2.34094629577031e-06,0,0.0206522513791781,3.36477565153458e-12,0,5.7954448087936e-13,1.53794749959753e-08,4.04475683232524e-07,2.56703406709911e-08,0.000180855393602029,0.00772882560248856,0,0,0,0,3.69894507682754e-05,8.64069878499838e-10,3.08472560877459e-09,0,0,0.943871382234265,0,0,0,0,0.00464379103854301,0,1.88539375882007e-09,0.000123722368839702,5.41506954908748e-06,0.016835261818548,0.000172901596805602,6.0030153726058e-06,0,2.51738761841185e-10,0.000145341686903281,0,0,0,0,0,1.30970978818619e-09,0,2.45236787096168e-05,3.29348380862417e-06,0,0.00128447081518303,1.09656243578532e-07,0,0,0,0,5.74426537481874e-07,8.50709963098912e-05,0,7.80003948812699e-09,1.30226673508192e-10,2.98691263512234e-06,1.16988594409249e-08,1.002778848836e-05,0.00030948405648229,2.29963958400197e-07,4.24348628478147e-05,4.88971936446376e-08,0,1.09118768382738e-07,3.10392078847556e-08,0,0.00342970659834903,0.000162159877828409,6.07002956855083e-08,3.88367249699541e-13,2.68695553841632e-08
"TD.TO",0,0,0,8.92576574370712e-10,0,6.69976292402858e-06,2.74122887391828e-13,0,3.85853257926137e-12,1.10828920391657e-07,5.00374399786717e-06,2.2480571352949e-09,0.00216005970128921,0.0128259685229,0,0,0,0,0.000244086803255773,7.56701471418364e-11,2.70142087481884e-10,0,0,0,0.801620100218117,0,0,0,0.0466877453987823,0,1.00421098900182e-05,0.00535423071710865,3.83798919101268e-05,0.118027462227513,0.00125041013255172,6.03731760635105e-05,0,2.79913826112795e-10,0.000693833031799201,0,0,0,0,0,2.74761115598926e-09,0,4.0539129722223e-05,1.33177943558251e-05,0,0.00950267138808551,7.22525619720488e-07,0,0,0,0,4.56613754204623e-06,1.93710073944558e-05,0,8.28448980405484e-08,8.64530072950159e-10,1.1400600133133e-06,4.17494743321412e-09,7.38293228683989e-05,7.06856764273292e-06,2.6037136520626e-07,3.73691692459043e-06,3.00680034500065e-07,0,6.35683004475001e-07,2.04517519301168e-07,0,1.30366508309959e-06,0.00134533054151416,3.99954597441407e-07,2.3902164133189e-12,1.06482100315923e-09
"RY.TO",0,0,0,7.18677623955719e-10,0,6.10629839566067e-06,2.98353226149377e-13,0,3.76124492018937e-12,9.99519186618152e-08,1.15769063228379e-06,2.43883928423663e-09,0.0005691436692682,0.01154485778433,0,0,0,0,0.000238095843699378,8.20919204392320e-11,2.93067789484844e-10,0,0,0,0,0.8277164591236,0,0,0.0257164337976409,0,4.30792743760732e-08,0.00703029394570205,3.69842870931411e-05,0.11527186563363,0.00120085243167549,3.32583647344299e-05,0,2.83648809710795e-10,0.000561992123482605,0,0,0,0,0,2.54146817879293e-09,0,3.64971705602917e-05,7.57850883442334e-06,0,0.00846142123893778,7.04705416335829e-07,0,0,0,0,4.07308554910435e-06,1.51430825323397e-05,0,7.40877605016074e-08,8.43322914019445e-10,8.6663519776774e-07,3.52679029741424e-09,6.65025755516406e-05,0.000193135433310083,2.65099776730353e-07,4.05584981000843e-06,6.76113418447589e-08,0,5.86163016235161e-07,1.99473346900634e-07,0,1.02991602921067e-06,0.0012797376984156,3.90090210523484e-07,5.3604064052448e-13,1.6816822679843e-08
"BNS.TO",0,0,0,1.08489993780534e-09,0,8.51207233876776e-06,3.9733097715595e-13,0,5.33611772808437e-12,1.72809813769644e-07,4.83661335876829e-06,3.20809933036561e-09,0.00204337194370374,0.0162012485523445,0,0,0,0,0.000337904580876794,1.07985399731643e-10,3.85507394962411e-10,0,0,0,0,0,0.774230008526652,0,0.0137034303312461,0,0.000120592097915296,0.0110364956859841,5.09727961430835e-05,0.162576379116234,0.00167491946166978,4.23000529506437e-05,0,5.36126971997996e-10,0.000613350747994494,0,0,0,0,0,3.63833859091834e-09,0,5.1222186427192e-05,4.76309557139836e-06,0,0.0153058170935867,1.00022146779266e-06,0,0,0,0,7.44937459547293e-06,3.57074541380046e-05,0,1.022468710922e-07,1.19712190300529e-09,1.30748969249398e-06,6.9616540854681e-09,0.000115046734072294,3.01457087393391e-06,4.94639316537198e-07,5.31805067727018e-06,2.93606931398628e-07,0,1.00045572453639e-06,2.83121882133208e-07,0,2.32992560543937e-06,0.00181978215364779,5.53673341933569e-07,2.33389772595304e-12,1.38855008167419e-09
"BMO.TO",0,0,0,1.47632313104941e-09,0,1.02080003853712e-05,4.17558292040325e-13,0,6.92341794160259e-12,1.74692587272219e-07,9.88613825217118e-06,3.36438745154109e-09,0.00409491644931563,0.019969498257251,0,0,0,0,0.000438437851438674,1.13246095707824e-10,4.04288056112034e-10,0,0,0,0,0,0,0.716693859891799,0.0192920046995207,0,6.86166748536674e-10,0.00968550160386138,6.34513199618722e-05,0.208900416369507,0.00214133779460168,2.49715053463035e-05,0,5.96935688200814e-10,0.00129585637318548,0,0,0,0,0,4.66835486512642e-09,0,6.31380960531285e-05,6.32276181706373e-06,0,0.0148897853473011,1.29794843116378e-06,0,0,0,0,7.21783079036677e-06,2.87143349139064e-05,0,1.15313588099075e-07,1.55355483331198e-09,1.81319532260688e-06,7.09776784800407e-09,0.000116316155101797,3.87810432976682e-06,5.56099149859994e-07,5.56820801936373e-06,7.18946152391164e-07,0,1.00316895982696e-06,3.67396236309449e-07,0,1.93417892724692e-06,0.00224999202456351,7.18480325288175e-07,5.71781888158403e-12,1.48892035202633e-09
"CM.TO",0,0,0,2.07399873765833e-09,0,6.92874806591577e-06,3.43016755868693e-13,0,4.23525598702065e-12,1.62771480336425e-07,3.10136680226367e-05,2.6574301514698e-09,0.0123794926853045,0.0128049662438592,0,0,0,0,0.00026786259272881,8.94497419232601e-11,3.19335179335278e-10,0,0,0,0,0,0,0,0.80007464458883,0,6.29601396527733e-10,0.0206816250160652,6.31854064330037e-05,0.126965650257159,0.00131234799552546,0.00103464921487536,0,3.54162358552769e-10,0.00751647521838553,0,0,0,0,0,2.74060916120544e-09,0,4.04479813943758e-05,0.000217470434393229,0,0.0147876059292595,7.93483029067725e-07,0,0,0,0,7.16169278109162e-06,6.23027928295714e-05,0,1.03718406039467e-07,9.49554206702037e-10,1.09481061702174e-06,1.05884343500668e-08,0.000108334590819205,0.000107979592914539,3.25487517214124e-07,4.39515048683347e-06,2.87075403332065e-06,0,9.4177385164163e-07,2.24602666373667e-07,0,4.05034023501041e-06,0.00151442320556953,4.39233124480958e-07,2.28383025852262e-11,9.58934532095941e-09
