"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"1",1,0.279815912246704,0,0.0327449887990952,0,0,0.0924988389015198,0,0,0.0397184640169144,0.272864460945129,0.149290129542351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134842991828918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951915681362152,0,0,0,0,0
"2",0.279815912246704,1,0.170126050710678,0,0,0,0.23967120051384,0.0448013246059418,0.00984171032905579,0,0,0.027139350771904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12444007396698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0.170126050710678,1,0.28114852309227,0.119356334209442,0.0353243350982666,0.0791414380073547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234788656234741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.0327449887990952,0,0.28114852309227,1,0,0.147579491138458,0,0,0,0,0,0,0.0775848031044006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264433026313782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0.119356334209442,0,1,0.483936727046967,0.00208443403244019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.0353243350982666,0.147579491138458,0.483936727046967,1,0,0,0,0.107803404331207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897514820098877,0,0.00278514623641968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.0924988389015198,0.23967120051384,0.0791414380073547,0,0.00208443403244019,0,1,0.118535250425339,0,0,0.0332051515579224,0.104408606886864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0.0448013246059418,0,0,0,0,0.118535250425339,1,0.151701867580414,0,0,0,0.111641407012939,0.257893890142441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0.00984171032905579,0,0,0,0,0,0.151701867580414,1,0,0,0,0.168658137321472,0.163313671946526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133811235427856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.0397184640169144,0,0,0,0,0.107803404331207,0,0,0,1,0,0,0.373817503452301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0.272864460945129,0,0,0,0,0,0.0332051515579224,0,0,0,1,0.142366349697113,0,0.0185819268226624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560730397701263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0.149290129542351,0.027139350771904,0,0,0,0,0.104408606886864,0,0,0,0.142366349697113,1,0,0.0422793328762054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030671089887619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0.0775848031044006,0,0,0,0.111641407012939,0.168658137321472,0.373817503452301,0,0,1,0.253217309713364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431789755821228,0,0,0,0,0,0.0369339361786842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0.257893890142441,0.163313671946526,0,0.0185819268226624,0.0422793328762054,0.253217309713364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314071327447891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296211540699005,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.395586133003235,0,0.0495529174804688,0.0470715761184692,0.110294610261917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.145202577114105,0.346105933189392,0,0.0116687417030334,0,0,0,0.0324317514896393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395586133003235,0.145202577114105,1,0,0.0353437066078186,0.256207764148712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346105933189392,0,1,0,0.135638773441315,0.173963785171509,0,0.158665627241135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298985093832016
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495529174804688,0,0.0353437066078186,0,1,0.133484199643135,0.0962641835212708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312879830598831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493721961975098,0,0,0,0,0,0.00620980560779572,0,0,0,0,0,0.0279227793216705,0,0,0,0,0,0.0510062575340271,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470715761184692,0.0116687417030334,0.256207764148712,0.135638773441315,0.133484199643135,1,0.00732499361038208,0.0980281233787537,0.00373774766921997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110294610261917,0,0,0.173963785171509,0.0962641835212708,0.00732499361038208,1,0.125020265579224,0.114870458841324,0.0512028634548187,0,0,0,0,0,1.2129545211792e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980281233787537,0.125020265579224,1,0.195321515202522,0.105248957872391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158665627241135,0,0.00373774766921997,0.114870458841324,0.195321515202522,1,0.334729790687561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324317514896393,0,0,0,0,0.0512028634548187,0.105248957872391,0.334729790687561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0.00234788656234741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.279069900512695,0.22579225897789,0.0343171209096909,0.0749562531709671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708726644515991,0,0,0,0,0,0,0,0,0,0.0900545716285706,0,0,0.0223071277141571,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0514521598815918,0.359803587198257,0.218552798032761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279069900512695,0,1,0.243596822023392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160607993602753,0,0,0,0.0257427990436554,0,0,0,0.0182426273822784,0,0,0.0177265405654907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387209951877594,0,0
"28",0,0,0,0,0,0.00897514820098877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22579225897789,0.0514521598815918,0.243596822023392,1,0.0611969530582428,0,0,0,0,0.0745573043823242,0,0,0,0,0,0.0219243913888931,0,0,0,0,0,0.00323790311813354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103288888931274,0,0,0,0.001728355884552,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343171209096909,0.359803587198257,0,0.0611969530582428,1,0,0,0,0,0,0,0,0.0661633163690567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019772931933403,0,0,0,0,0.097940593957901,0,0,0,0,0
"30",0,0,0,0,0,0.00278514623641968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2129545211792e-05,0,0,0,0.0749562531709671,0.218552798032761,0,0,0,1,0,0.0241611152887344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573956668376923,0.097177192568779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00374840199947357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204007729887962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176790505647659,0.139883786439896,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241611152887344,0,1,0.0841280221939087,0.227874487638474,0,0,0,0,0,0.0020504891872406,0,0,0,0,0,0,0,0,0,0,0.130665123462677,0,0,0.184572815895081,0.016522228717804,0,0,0,0.0463913679122925,0.0280430316925049,0.0132081806659698,0,0,0,0,0.0751141160726547,0,0,0,0,0,0,0,0,0,0
