"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0,0.231893077492714,0.0643464326858521,0.320915460586548,0,0,0.332062065601349,0
"2",0,1,0.353638529777527,0.243990689516068,0,0.147485867142677,0,0,0.0886824727058411,0.0522587560117245
"3",0,0.353638529777527,1,0.244017124176025,0.145309209823608,0.00991992745548487,0.0252315308898687,0,0.0997166335582733,0.106576271355152
"4",0.231893077492714,0.243990689516068,0.244017124176025,1,0.0788542032241821,0,0.0911122336983681,0,0,0.0380608439445496
"5",0.0643464326858521,0,0.145309209823608,0.0788542032241821,1,0,0.363131433725357,0,0,0
"6",0.320915460586548,0.147485867142677,0.00991992745548487,0,0,1,0,0.0570428185164928,0,0
"7",0,0,0.0252315308898687,0.0911122336983681,0.363131433725357,0,1,0.194809556007385,0,0.341086119413376
"8",0,0,0,0,0,0.0570428185164928,0.194809556007385,1,0.0493638627231121,0.0778002366423607
"9",0.332062065601349,0.0886824727058411,0.0997166335582733,0,0,0,0,0.0493638627231121,1,0.0589651800692081
"10",0,0.0522587560117245,0.106576271355152,0.0380608439445496,0,0,0.341086119413376,0.0778002366423607,0.0589651800692081,1
