"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.128726616501808,0,0.0972273051738739,0.440498858690262,0,0.243232607841492,0.138724401593208,0
"2",0,1,0.421157151460648,0.0981501489877701,0,0.144638538360596,0,0.0679413378238678,0,0.0436273887753487
"3",0.128726616501808,0.421157151460648,1,0.10231276601553,0.201130256056786,0,0.141758859157562,0,0.136026799678802,0.112773567438126
"4",0,0.0981501489877701,0.10231276601553,1,0,0.30130061507225,0.232118502259254,0,0.116408191621304,0.165958359837532
"5",0.0972273051738739,0,0.201130256056786,0,1,0,0.235209494829178,0,0,0.12420167028904
"6",0.440498858690262,0.144638538360596,0,0.30130061507225,0,1,0,0,0,0
"7",0,0,0.141758859157562,0.232118502259254,0.235209494829178,0,1,0.115417838096619,0,0.306322813034058
"8",0.243232607841492,0.0679413378238678,0,0,0,0,0.115417838096619,1,0,0
"9",0.138724401593208,0,0.136026799678802,0.116408191621304,0,0,0,0,1,0
"10",0,0.0436273887753487,0.112773567438126,0.165958359837532,0.12420167028904,0,0.306322813034058,0,0,1
