"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.0159708581559896,0.0281877996254451,0.015004074093339,0.0105910703963664,0.0377458177604789,0.00130058602769525,0.0177344249309281,0,0
"2",0.0159708200726439,1,0.0491870370064771,0.0382117606266405,0.0216304537907264,0.0246348446129017,0.0338841714215263,0.0172170349205419,0,0.0242040788331531
"3",0.0281877808949295,0.0491871177238607,1,0.0426851189370771,0.0353869701596604,0.0247698057526658,0.0425907063592429,0.0209267011633754,0.00820181748654689,0.0332284369551287
"4",0.0150040274259122,0.0382116880097041,0.0426851274154351,1,0.0176847328347,0.0338335567806035,0.037081645822025,0.00840472024103214,0.00474426037696835,0.0263025605903693
"5",0.0105910969881621,0.0216304104463531,0.0353869442666583,0.0176847333298953,1,0.00659485957444548,0.0338330615236454,0,0,0.021901943550497
"6",0.0377475570502751,0.0246370634447248,0.0247701702320625,0.0338333508564558,0.00659472075036706,1,0,0.00222734768664566,0,0
"7",0.00130034289899357,0.0338841111483856,0.0425907673718542,0.0370816308850697,0.03383306139197,0,1,0.00539167767702059,0,0.0369193352049911
"8",0.0177344219107958,0.0172170266300716,0.0209266990655253,0.00840472035692565,0,0.00222734814912937,0.00539167741939837,1,0,0
"9",0,0,0.00820181749205137,0.00474426042561829,0,0,0,0,1,0
"10",0,0.0242040779637567,0.0332284329326195,0.0263025588716553,0.0219019423155608,0,0.036919335088971,0,0,1
