"Source","Target","Type","Weight"
"V3","V38","Directed",0
"V3","V39","Directed",0
"V3","V40","Directed",0
"V3","V41","Directed",0
"V3","V42","Directed",0
"V3","V43","Directed",0
"V3","V44","Directed",0
"V3","V45","Directed",0
"V3","V46","Directed",0
"V3","V47","Directed",0
"V3","V48","Directed",0
"V3","V49","Directed",0
"V3","V50","Directed",0
"V3","V51","Directed",0
"V3","V52","Directed",0
"V3","V53","Directed",0
"V3","V54","Directed",0
"V3","V55","Directed",0
"V3","V56","Directed",0
"V3","V57","Directed",0
"V3","V58","Directed",0
"V3","V59","Directed",0
"V3","V60","Directed",0
"V3","V61","Directed",0
"V3","V62","Directed",0
"V3","V63","Directed",0
"V3","V64","Directed",0
"V3","V65","Directed",0
"V3","V66","Directed",0
"V3","V67","Directed",0
"V3","V68","Directed",0
"V3","V69","Directed",0
"V3","V70","Directed",0
"V3","V71","Directed",0
"V3","V72","Directed",0
"V3","V73","Directed",0
"V3","V74","Directed",0
"V3","V75","Directed",0
"V3","V76","Directed",0
"V3","V77","Directed",0
"V3","V78","Directed",0
"V3","V79","Directed",0
"V3","V80","Directed",0
"V3","V81","Directed",0
"V3","V82","Directed",0
"V3","V83","Directed",0
"V3","V84","Directed",0
"V3","V85","Directed",0
"V3","V86","Directed",0
"V3","V87","Directed",0
"V3","V88","Directed",0
"V3","V89","Directed",0
"V3","V90","Directed",0
"V3","V91","Directed",0
"V3","V92","Directed",0
"V3","V93","Directed",0
"V3","V94","Directed",0
"V3","V95","Directed",0
"V3","V96","Directed",0
"V3","V97","Directed",0
"V3","V98","Directed",0
"V3","V99","Directed",0
"V3","V100","Directed",0
"V3","V101","Directed",0
"V3","V102","Directed",0
"V3","V103","Directed",0
"V3","V104","Directed",0
"V3","V105","Directed",0
"V3","V106","Directed",0
"V4","V5","Directed",0
"V4","V6","Directed",0
"V4","V7","Directed",0
"V4","V8","Directed",0
"V4","V9","Directed",0.250398517
"V4","V10","Directed",0
"V4","V11","Directed",0
"V4","V12","Directed",0
"V4","V13","Directed",0
"V4","V14","Directed",0
"V4","V15","Directed",0
"V4","V16","Directed",0
"V4","V17","Directed",0
"V4","V18","Directed",0
"V4","V19","Directed",0
"V4","V20","Directed",0
"V4","V21","Directed",0
"V4","V22","Directed",0
"V4","V23","Directed",0
"V4","V24","Directed",0
"V4","V25","Directed",0
"V4","V26","Directed",0
"V4","V27","Directed",0
"V4","V28","Directed",0
"V4","V29","Directed",0
"V4","V30","Directed",0
"V4","V31","Directed",0
"V4","V32","Directed",0
"V4","V33","Directed",0
"V4","V34","Directed",0
"V4","V35","Directed",0
"V4","V36","Directed",0
"V4","V37","Directed",0
"V4","V38","Directed",0
"V4","V39","Directed",0
"V4","V40","Directed",0
"V4","V41","Directed",0
"V4","V42","Directed",0
"V4","V43","Directed",0
"V4","V44","Directed",0
"V4","V45","Directed",0
"V4","V46","Directed",0
"V4","V47","Directed",0
"V4","V48","Directed",0
"V4","V49","Directed",0
"V4","V50","Directed",0
"V4","V51","Directed",0
"V4","V52","Directed",0
"V4","V53","Directed",0
"V4","V54","Directed",0.012057496
"V4","V55","Directed",0
"V4","V56","Directed",0
"V4","V57","Directed",0
"V4","V58","Directed",0
"V4","V59","Directed",0
"V4","V60","Directed",0
"V4","V61","Directed",0
"V4","V62","Directed",0
"V4","V63","Directed",0
"V4","V64","Directed",0
"V4","V65","Directed",0
"V4","V66","Directed",0
"V4","V67","Directed",0
"V4","V68","Directed",0
"V4","V69","Directed",0
"V4","V70","Directed",0
"V4","V71","Directed",0
"V4","V72","Directed",0
"V4","V73","Directed",0
"V4","V74","Directed",0
"V4","V75","Directed",0
"V4","V76","Directed",0
"V4","V77","Directed",0
"V4","V78","Directed",0.068364143
"V4","V79","Directed",0
"V4","V80","Directed",0
"V4","V81","Directed",0
"V4","V82","Directed",0
"V4","V83","Directed",0
"V4","V84","Directed",0
"V4","V85","Directed",0
"V4","V86","Directed",0
"V4","V87","Directed",0
"V4","V88","Directed",0
"V4","V89","Directed",0
"V4","V90","Directed",0
"V4","V91","Directed",0
"V4","V92","Directed",0
"V4","V93","Directed",0
"V4","V94","Directed",0
"V4","V95","Directed",0
"V4","V96","Directed",0
"V4","V97","Directed",0
"V4","V98","Directed",0
"V4","V99","Directed",0
"V4","V100","Directed",0
"V4","V101","Directed",0
"V4","V102","Directed",0
"V4","V103","Directed",0
"V4","V104","Directed",0
"V4","V105","Directed",0
"V4","V106","Directed",0
"V5","V6","Directed",0
"V5","V7","Directed",0
"V5","V8","Directed",0
"V5","V9","Directed",0
"V5","V10","Directed",0
"V5","V11","Directed",0
"V5","V12","Directed",0
"V5","V13","Directed",0
"V5","V14","Directed",0.03026169
"V5","V15","Directed",0
"V5","V16","Directed",0
"V5","V17","Directed",0
"V5","V18","Directed",0
"V5","V19","Directed",0.062516451
"V5","V20","Directed",0.150740847
"V5","V21","Directed",0
"V5","V22","Directed",0
"V5","V23","Directed",0
"V5","V24","Directed",0
"V5","V25","Directed",0
"V5","V26","Directed",0
"V5","V27","Directed",0.026814094
"V5","V28","Directed",0
"V5","V29","Directed",0
"V5","V30","Directed",0
"V5","V31","Directed",0
"V5","V32","Directed",0
"V5","V33","Directed",0
"V5","V34","Directed",0
"V5","V35","Directed",0
"V5","V36","Directed",0
"V5","V37","Directed",0
"V5","V38","Directed",0
