"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.128425374627113,0,0.0701728761196136,0.416543036699295,0,0.211746990680695,0.104930996894836,0
"2",0,1,0.430499583482742,0.100023701786995,0,0.115445673465729,0,0.0296865534037352,0,0.0188766997307539
"3",0.128425374627113,0.430499583482742,1,0.122717529535294,0.199927553534508,0,0.141245946288109,0,0.0970329642295837,0.0952808037400246
"4",0,0.100023701786995,0.122717529535294,1,0,0.275052487850189,0.215722128748894,0,0.0747191235423088,0.140628010034561
"5",0.0701728761196136,0,0.199927553534508,0,1,0,0.210755974054337,0,0,0.0975022912025452
"6",0.416543036699295,0.115445673465729,0,0.275052487850189,0,1,0,0,0,0
"7",0,0,0.141245946288109,0.215722128748894,0.210755974054337,0,1,0.0750368237495422,0,0.286019802093506
"8",0.211746990680695,0.0296865534037352,0,0,0,0,0.0750368237495422,1,0,0
"9",0.104930996894836,0,0.0970329642295837,0.0747191235423088,0,0,0,0,1,0
"10",0,0.0188766997307539,0.0952808037400246,0.140628010034561,0.0975022912025452,0,0.286019802093506,0,0,1
