"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.128119230270386,0,0.0692610740661621,0.419122040271759,0,0.212146505713463,0.102897696197033,0
"2",0,1,0.432105779647827,0.0979974716901779,0,0.113574028015137,0,0.0309073142707348,0,0.0220046155154705
"3",0.128119230270386,0.432105779647827,1,0.124448612332344,0.200275883078575,0,0.139073878526688,0,0.0941771939396858,0.0936029627919197
"4",0,0.0979974716901779,0.124448612332344,1,0,0.275194853544235,0.215581506490707,0,0.0774260759353638,0.142953649163246
"5",0.0692610740661621,0,0.200275883078575,0,1,0,0.213145896792412,0,0,0.0973216071724892
"6",0.419122040271759,0.113574028015137,0,0.275194853544235,0,1,0,0,0,0
"7",0,0,0.139073878526688,0.215581506490707,0.213145896792412,0,1,0.0750719308853149,0,0.283501923084259
"8",0.212146505713463,0.0309073142707348,0,0,0,0,0.0750719308853149,1,0,0
"9",0.102897696197033,0,0.0941771939396858,0.0774260759353638,0,0,0,0,1,0
"10",0,0.0220046155154705,0.0936029627919197,0.142953649163246,0.0973216071724892,0,0.283501923084259,0,0,1
