,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.993439436,0,0,0,0,0,2.66E-05,0.00653399,0,0
JPM,0.009968502,0.987003877,0,0,0,0,0.002388436,0.000639185,0,0
BAC,0.01063846,0,0.982636474,0,0,0,1.49E-05,0.006710203,0,0
C,0.009286746,0,0,0.98604307,0,0,1.03E-05,0.004659834,0,0
WFC,0.019192704,0,0,0,0.977979637,0,6.46E-06,0.002821203,0,0
GS,0.011704721,0,0,0,0,0.985915564,5.37E-06,0.002374342,0,0
USB,0.006534477,0,0,0,0,0,0.99304634,0.000419182,0,0
TD,1.44E-05,0,0,0,0,0,0.002181791,0.997803851,0,0
BK,0.00463071,0,0,0,0,0,1.16E-05,0.005251951,0.990105764,0
TFC,0.019048316,0,0,0,0,0,3.64E-06,0.00153946,0,0.979408586
