"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.0969062075018883,0,0.0989985764026642,0.410539954900742,0,0.211625874042511,0.128714576363564,0
"2",0,1,0.389648258686066,0.162728637456894,0.045413501560688,0.1204429641366,0.0199864208698273,0.0802629739046097,0,0.0367270857095718
"3",0.0969062075018883,0.389648258686066,1,0.0431776791810989,0.251638501882553,0,0.0766037181019783,0.122905224561691,0.202803373336792,0.1275754570961
"4",0,0.162728637456894,0.0431776791810989,1,0,0.275961935520172,0.229361802339554,0.0485476553440094,0.140835821628571,0.171606510877609
"5",0.0989985764026642,0.045413501560688,0.251638501882553,0,1,0,0.225845158100128,0,0,0.0916969105601311
"6",0.410539954900742,0.1204429641366,0,0.275961935520172,0,1,0,0,0,0
"7",0,0.0199864208698273,0.0766037181019783,0.229361802339554,0.225845158100128,0,1,0.0964750647544861,0,0.275614678859711
"8",0.211625874042511,0.0802629739046097,0.122905224561691,0.0485476553440094,0,0,0.0964750647544861,1,0,0
"9",0.128714576363564,0,0.202803373336792,0.140835821628571,0,0,0,0,1,0
"10",0,0.0367270857095718,0.1275754570961,0.171606510877609,0.0916969105601311,0,0.275614678859711,0,0,1
