"","tables.hsba.ln","tables.X8306.to","tables.bnp.fr","tables.jpm","tables.dbk.xe","tables.barc.ln","tables.aca.fr","tables.bac","tables.c","tables.X8411.to","tables.gle.fr","tables.rbs.ln","tables.X8316.to","tables.san.mc","tables.wfc","tables.inga.ae","tables.lloy.ln","tables.ucg.mi","tables.ubsn.vx","tables.csgn.vx","tables.gs","tables.ndasek.sk","tables.isp.mi","tables.MS","tables.td.t","tables.ry.t","tables.bbva.mc","tables.cbk.xe","tables.nab.au","tables.bns.t","tables.cba.au","tables.stan.ln","tables.X600036.sh","tables.anz.au","tables.wbc.au","tables.X600000.sh","tables.danske.ko","tables.sber.mz","tables.X600016.sh","tables.bmo.t","tables.itub4.br","tables.X8308.to","tables.X8604.to","tables.X8309.to","tables.sbin.in","tables.dnb.os","tables.shba.sk","tables.seba.sk","tables.cm.t","tables.bk.us","tables.usb","tables.bbdc4.br","tables.kbc.bt","tables.pnc.us","tables.d05.sg","tables.X000001.sz","tables.X053000.se","tables.dexb.bt","tables.cof","tables.X055550.se","tables.sweda.sk","tables.X600015.sh","tables.ebs.vi","tables.bmps.mi","tables.stt.us","tables.sab.mc","tables.u11.sg","tables.pop.mc","tables.X024110.SE","tables.BBT","tables.bir.db","tables.NA.T","tables.STI.US","tables.bp.mi","tables.maybank.ku","tables.aib.db","tables.sbk.jo","tables.AXP","tables.ete.at","tables.mqg.au","tables.X8354.to","tables.X8332.to","tables.poh1s.he","tables.fitb.us","tables.rf.us","tables.X8331.to","tables.uni.mi","tables.bcp.lb","tables.cimb.ku","tables.bankbaroda.in","tables.isctr.is","tables.bes.lb","tables.X8377.to","tables.X8355.to","tables.mb.mi","tables.X8418.to","tables.US_b","tables.UK_b","tables.GER_b","tables.FRA_b","tables.ITA_b","tables.ESP_b","tables.GRC_b","tables.JPN_b","tables.CAN_b","tables.AUS_b"
"X000001.sz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X053000.se",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dexb.bt",0,0,0,0,0,0,0,0.000196616149393628,0,0,0,0.000315167304962235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9130421805524e-06,0,0,0,0,0,0,1.29602937614382e-05,0,0,0,0,3.00074096183481e-12,0,0,0,0,0,0,0,0.972039996560702,0,0,0,0,0,0,0,0,0,0,0,0.000325466191784425,0.000697446479718579,0,0.000167316523168956,0,0,0,0,0,0,0,0,0,0,0.000885252594470744,0.0253229022275665,0,0,8.95297158158735e-08,0,2.88730995744272e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cof",0,0,0,0,0,0,0,0.000600103920440959,0,0,0,0.000919177874652938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179452095509827,0,0,0,0,0,0,0.00745755743295186,0,0,0,0,4.72019131443161e-09,0,0,0,0,0,0,0,0,0.861839332901134,0,0,0,0,0,0,0,0,0,0,0.00098265995288012,0.00201846560857409,0,0.000503821612013897,0,0,0,0,0,0,0,0,0,0,0.000847600328210131,0.0772895003396431,0,0,0.000335090328080971,0,0.0454121640261288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X055550.se",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sweda.sk",0,0,0,0,0,0,0,7.37106272470987e-08,0,0,0,1.13097197937872e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93776805112398e-09,0,0,0,0,0,0,1.02798982596759e-09,0,0,0,0,1.08973914552554e-15,0,0,0,0,0,0,0,0,0,0,0.999989753411958,0,0,0,0,0,0,0,0,1.21757468719615e-07,2.59017071518176e-07,0,6.26242681467218e-08,0,0,0,0,0,0,0,0,0,0,1.08441130247002e-07,9.49345613490819e-06,0,0,3.29725463775592e-11,0,1.04854119025945e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X600015.sh",0,0,0,0,0,0,0,6.46720711008634e-08,0,0,0,9.92881481142106e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59947752244864e-09,0,0,0,0,0,0,0.000378250339157729,0,0,0,0,3.36153861920045e-10,0,0,0,0,0,0,0,0,0,0,0,0.99636011532565,0,0,0,0,0,0,0,1.06915646086043e-07,2.2864770651655e-07,0,5.51645717111088e-08,0,0,0,0,0,0,0,0,0,0,9.60594573322253e-08,8.32950814479093e-06,0,0,1.85720647334678e-05,0,0.00323407907908206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ebs.vi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bmps.mi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stt.us",0,0,0,0,0,0,0,2.12125218243251e-05,0,0,0,3.25472305571998e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492908026780032,0,0,0,0,0,0,0.000225701760603061,0,0,0,0,3.13606277284689e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991884990592064,0,0,0,0,3.50394923900349e-05,7.45402052275758e-05,0,1.80220777438441e-05,0,0,0,0,0,0,0,0,0,0,3.12073025007334e-05,0.0027320367899588,0,0,1.26042561527542e-05,0,3.01750286393852e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sab.mc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u11.sg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
