"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0.127122089266777,0,0.062381137162447,0.412936598062515,0,0.203659415245056,0.0932645052671432,0,0,0,0,0,0,0
"2",0,1,0.434842824935913,0.0987130030989647,0,0.105771921575069,0,0.00830626487731934,0,0.0147378742694855,0,0,0,0,0,0
"3",0.127122089266777,0.434842824935913,1,0.129899680614471,0.200012624263763,0,0.138385966420174,0,0.0813868567347527,0.0874717310070992,0,0,0,0,0,0
"4",0,0.0987130030989647,0.129899680614471,1,0,0.268329113721848,0.211158931255341,0,0.0645316615700722,0.1364536434412,0,0,0,0,0,0
"5",0.062381137162447,0,0.200012624263763,0,1,0,0.20659638941288,0,0,0.0909233614802361,0,0,0,0,0,0
"6",0.412936598062515,0.105771921575069,0,0.268329113721848,0,1,0,0,0,0,0,0,0,0,0,0
"7",0,0,0.138385966420174,0.211158931255341,0.20659638941288,0,1,0.0634634792804718,0,0.278197288513184,0,0,0,0,0,0
"8",0.203659415245056,0.00830626487731934,0,0,0,0,0.0634634792804718,1,0,0,0,0,0,0,0,0
"9",0.0932645052671432,0,0.0813868567347527,0.0645316615700722,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0.0147378742694855,0.0874717310070992,0.1364536434412,0.0909233614802361,0,0.278197288513184,0,0,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0.21749110519886,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0.433576911687851,0,-0.165249362587929,0
"13",0,0,0,0,0,0,0,0,0,0,0.21749110519886,0.433576911687851,1,0.163838103413582,0.172459080815315,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0.163838103413582,1,0.10482170432806,0
"15",0,0,0,0,0,0,0,0,0,0,0,-0.165249362587929,0.172459080815315,0.10482170432806,1,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
