,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.139581927,0.085056942,0.118545797,0.066585041,0.108612019,0.086700536,0.068870245,0.110112204,0.107302093,0.108633196
BK,0.112573261,0.148559394,0.104959222,0.059409682,0.097542038,0.102318958,0.05980571,0.10793427,0.101980662,0.104916803
C,0.118727524,0.074696808,0.141353605,0.068095454,0.106902353,0.090115495,0.074976904,0.110917518,0.108329897,0.105884442
GS,0.110490297,0.076563364,0.107569549,0.120625406,0.111684232,0.094942927,0.070378582,0.104082336,0.098987949,0.104675357
JPM,0.11289756,0.081521139,0.1118957,0.069216918,0.134330309,0.080703505,0.074408528,0.115886229,0.112568288,0.106571823
MS,0.113620929,0.091047502,0.111503228,0.072593002,0.099510954,0.128123173,0.063404922,0.108818007,0.100862476,0.110515809
TD,0.096977204,0.072958657,0.104731919,0.068322962,0.098410531,0.075991001,0.136736754,0.118591479,0.120709876,0.106569618
TFC,0.102085386,0.070902024,0.106123445,0.063974477,0.101229624,0.075448614,0.08837169,0.15699087,0.127776362,0.107097506
USB,0.100592411,0.073373752,0.108820351,0.057858804,0.100558451,0.072742796,0.087825474,0.127511678,0.154226757,0.116489527
WFC,0.105704204,0.067950012,0.10841129,0.057965224,0.096440971,0.076320247,0.08530174,0.116449297,0.128843928,0.156613086
