"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.169468792986445,0,0,0.0913748423817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0860825863685765,0,0,0,0,0,0.140420435299249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113467407618399,0,0.0508372615486754,0,0,1,0.0321179352949557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110910422304281,0,0,0.0321179352949556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169464302335268,0,0,1,0,0,0.139388428211014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120846650894095,0,0,0,0,0,0.0905717698330814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0.0593255708442103,0.0319985809782557,0,0,0,0,0,0,0,0,0.0462459863148154,0,0,0,0.00833173139419356,0,0,0.0179624306388137,0,0,0,0,0.0142528921220696,0.0684705364836103,0,0,0,0.0228805015514907,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0303001853028628,0,0.09533603676455,0,0,0,0,0,0,0,0,0,0.0169817204229433,0,0,0,0,0,0,0,0,0,0,0,0,0.0603808027142574,0,0,0,0,0.113744195156304,0,0,0,0,0,0,0.0200806044409909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0308752370708437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913713578129007,0,0,0.139387394516748,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131080681232599,0,0,0,0,0,0.129516405637106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0.0312992936695388,0,0,0.0277407731813247,0,0,0,0,0,0,0,0,0,0,0.0197249251217747,0,0,0,0,0,0,0,0,0.0114090573229101,0.000794920643489084,0.0537895196294787,0.0157412957162915,0,0,0.175098793880907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0689865190009299,0,0,0,0,0,0,0,0.108239542478367,0,0,0,0,0,0,0,0,0,0,0,0,0.0710264531840869,0,0,0,0,0,0.0332053623508906,0,0,0,0,0,0.0109992080052654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.207378589352904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0.0207129085365645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030875237096591,0,0,0,1,0,0.0704177352533467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516014033420423,0,0,0,0.0485291744607429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
