"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.0897196903824806,0,0.0934423580765724,0.400637239217758,0,0.23845574259758,0.108025282621384,0
"2",0,1,0.337033003568649,0.15727598965168,0.00472739338874817,0.0990748852491379,0.0881932899355888,0.138324856758118,0,0.044630691409111
"3",0.0897196903824806,0.337033003568649,1,0.0763814970850945,0.234912097454071,0,0.0820704028010368,0.154209345579147,0.19420850276947,0.149534791707993
"4",0,0.15727598965168,0.0763814970850945,1,0,0.298448324203491,0.219700634479523,0.0111009180545807,0.149382293224335,0.123710624873638
"5",0.0934423580765724,0.00472739338874817,0.234912097454071,0,1,0.00474142283201218,0.256120711565018,0,0,0.0978252217173576
"6",0.400637239217758,0.0990748852491379,0,0.298448324203491,0.00474142283201218,1,0,0,0.00226812809705734,0
"7",0,0.0881932899355888,0.0820704028010368,0.219700634479523,0.256120711565018,0,1,0.0401889532804489,0,0.277501672506332
"8",0.23845574259758,0.138324856758118,0.154209345579147,0.0111009180545807,0,0,0.0401889532804489,1,0,0
"9",0.108025282621384,0,0.19420850276947,0.149382293224335,0,0.00226812809705734,0,0,1,0
"10",0,0.044630691409111,0.149534791707993,0.123710624873638,0.0978252217173576,0,0.277501672506332,0,0,1
