"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.11224976927042,0.171280786395073,0,0.218982055783272,0,0,0.296883910894394,0
"2",0,1,0.380474656820297,0.182438045740128,0,0.123998634517193,0.168942406773567,0.123380534350872,0,0.0588095597922802
"3",0.11224976927042,0.380474656820297,1,0.287951409816742,0.0544509552419186,0.0408463813364506,0,0,0.0319957733154297,0.0531854704022408
"4",0.171280786395073,0.182438045740128,0.287951409816742,1,0.0840527713298798,0.103243716061115,0,0,0,0
"5",0,0,0.0544509552419186,0.0840527713298798,1,0.0575291775166988,0.323912709951401,0,0.0897897332906723,0
"6",0.218982055783272,0.123998634517193,0.0408463813364506,0.103243716061115,0.0575291775166988,1,0,0.0634421706199646,0,0.0750114917755127
"7",0,0.168942406773567,0,0,0.323912709951401,0,1,0.0728850215673447,0,0.316072762012482
"8",0,0.123380534350872,0,0,0,0.0634421706199646,0.0728850215673447,1,0,0.0177388321608305
"9",0.296883910894394,0,0.0319957733154297,0,0.0897897332906723,0,0,0,1,0.0196467600762844
"10",0,0.0588095597922802,0.0531854704022408,0,0,0.0750114917755127,0.316072762012482,0.0177388321608305,0.0196467600762844,1
