,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.68584235,0.047114488,0.031606007,0.013741665,0.005739275,0.003925555,0.031361693,0.088979251,0.02630757,0.065382146
BK,0.011661812,0.755861028,0.019840266,0.010155335,0.002471213,0.031311197,0.020569291,0.079564223,0.011898912,0.056666724
C,0.023775594,0.021231243,0.682019538,0.019048172,0.003595008,0.002327199,0.038257482,0.11147742,0.019787743,0.078480602
GS,0.00480412,0.034046563,0.009009688,0.740349294,0.042411747,0.004078454,0.023952864,0.06696689,0.012456628,0.061923752
JPM,0.014047348,0.033792267,0.014556044,0.013867062,0.668096739,0.003002487,0.042901966,0.118322902,0.027273786,0.064139399
MS,0.010082066,0.054706298,0.012738264,0.014619187,0.010547221,0.651741125,0.030506448,0.10342423,0.014502575,0.097132584
TD,0.002894299,0.016674539,0.013297378,0.01369544,0.004682389,0.006041344,0.69715367,0.131013138,0.041573612,0.072974192
TFC,0.002285538,0.008731867,0.02294913,0.017546059,0.003340968,0.001970542,0.073897533,0.737570707,0.024327097,0.107380559
USB,0.004409424,0.022918374,0.026255571,0.031945921,0.005279673,0.004218364,0.06982385,0.137962947,0.618066323,0.079119553
WFC,0.001730026,0.010678177,0.013050146,0.057150491,0.005034395,0.002560562,0.063238697,0.146465919,0.025169191,0.674922396
