"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0.100152708590031,0,0.145933091640472,0.431364953517914,0,0,0,0,0,0,0,0,0,0
"2",0,1,0.586840391159058,0.0778584331274033,0,0.0659291967749596,0.114537745714188,0,0,0.135297283530235,0,0,0,0,0,0
"3",0.100152708590031,0.586840391159058,1,0,0,0,0.177000030875206,0,0,0.0611696094274521,0,0,0,0,0,0
"4",0,0.0778584331274033,0,1,0,0.295081496238708,0.143050789833069,0,0.192505791783333,0.111421458423138,0,0,0,0,0,0
"5",0.145933091640472,0,0,0,1,0,0.219918772578239,0,0,0.18787394464016,0,0,0,0,0,0
"6",0.431364953517914,0.0659291967749596,0,0.295081496238708,0,1,0.0884067341685295,0,0,0,0,0,0,0,0,0
"7",0,0.114537745714188,0.177000030875206,0.143050789833069,0.219918772578239,0.0884067341685295,1,0.313300251960754,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0.313300251960754,1,0,0,0,0,0,0,0,0
"9",0,0,0,0.192505791783333,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0.135297283530235,0.0611696094274521,0.111421458423138,0.18787394464016,0,0,0,0,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0.247084602713585,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0.165754094719887,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0.247084602713585,0.165754094719887,1,0.16372999548912,0.0621979646384716,0.0503555946052074
"14",0,0,0,0,0,0,0,0,0,0,0,0,0.16372999548912,1,0.227040484547615,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0.0621979646384716,0.227040484547615,1,0.0176268853247166
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.0503555946052074,0,0.0176268853247166,1
