,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.125414921,0.096123056,0.102612343,0.100947063,0.093309035,0.101583189,0.104678918,0.098391592,0.089839016,0.087100868
JPM,0.103360337,0.11110192,0.106436758,0.102315139,0.092641398,0.096712156,0.109094098,0.099669622,0.087321427,0.091347144
BAC,0.10595209,0.102411476,0.111794082,0.101556451,0.092866694,0.09666317,0.108869458,0.099065097,0.087461106,0.093360377
C,0.10561447,0.099818009,0.102945059,0.114329343,0.093055393,0.099092436,0.107150879,0.098207512,0.088484021,0.091302878
WFC,0.107210404,0.095120616,0.101694349,0.098158918,0.115855619,0.092016312,0.109662795,0.099887468,0.089203503,0.091190016
GS,0.109848205,0.100206123,0.104118188,0.102131765,0.091928825,0.113445611,0.104667034,0.097318871,0.087122701,0.089212677
USB,0.101847442,0.099590615,0.103948923,0.100847194,0.09581673,0.093930175,0.120269883,0.10194548,0.086929201,0.094874357
TD,0.103664746,0.096958442,0.102023067,0.097725579,0.09354732,0.092491106,0.109709767,0.133857924,0.081398636,0.088623412
BK,0.102511672,0.091002414,0.098648606,0.097620677,0.093783623,0.093570031,0.103862907,0.095353404,0.139086393,0.084560273
TFC,0.103858219,0.099922911,0.103126516,0.100508467,0.092021118,0.092908727,0.111942745,0.097084389,0.085877394,0.112749514
