"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,0.902869039153683,0.195121089411239,0.196677768579332,0.327574661602209,0.532732948233853,0.128302282840308,0.566577553892756,0.420831122326414,0,0.318874136708524,0,0,0,0,0.126740655799076
"2",0,0,0.420081628078523,0.367985631298475,0,0,0.38488793942413,0,0,0.937303149243051,0,0,0,-0.11084772635091,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0.449285842432268,0,0,0.495094904650398,0,0,0,0,0,0,0
"5",0,0,0.162485175158776,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0.236791361101865,0.422115066727089,0.624113050513038,0,0,0.398788071764916,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0.494896420019934,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0.0638677647881603,0,-0.0808286691392208,-0.0811258567583478,0,-0.0986651148103887,0,0,0,0,0,0
"12",0,0,0.0323726779047885,0,0,0.0769643984008717,0,0,0,0,0,0,0.671676105435046,0,-0.208206926876426,0
"13",0,0,0,0,0,0,0,0,0,0,0.481721947686721,0,0,0.355300852991602,0,0
"14",0,0,0,0,-0.0629429870627556,-0.0476153819151766,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0.0480478890471234,0,0,-0.0730725475381777,0,0,0,-0.210620906726703,0,0.42918258316612,0.237055208229821,0,0
"16",0,0,0,0,0,0,0,0,0,0,-0.0965457436659246,0,0,0,0,0
