"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.12695986032486,0,0.0633029863238335,0.411068826913834,0,0.235411390662193,0.0741250440478325,0
"2",0,1,0.37676814198494,0.102564550936222,0,0.0862002223730087,0.0713081955909729,0.0915894731879234,0,0.0309971924871206
"3",0.12695986032486,0.37676814198494,1,0.145071431994438,0.161507859826088,0,0.172213524580002,0.0434370338916779,0.0819648653268814,0.120614603161812
"4",0,0.102564550936222,0.145071431994438,1,0,0.29441899061203,0.199721708893776,0,0.0721165239810944,0.0954673662781715
"5",0.0633029863238335,0,0.161507859826088,0,1,0,0.227657228708267,0,0,0.102378472685814
"6",0.411068826913834,0.0862002223730087,0,0.29441899061203,0,1,0,0,0,0
"7",0,0.0713081955909729,0.172213524580002,0.199721708893776,0.227657228708267,0,1,0,0,0.272642463445663
"8",0.235411390662193,0.0915894731879234,0.0434370338916779,0,0,0,0,1,0,0
"9",0.0741250440478325,0,0.0819648653268814,0.0721165239810944,0,0,0,0,1,0
"10",0,0.0309971924871206,0.120614603161812,0.0954673662781715,0.102378472685814,0,0.272642463445663,0,0,1
