"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.0525199323892593,0.117693431675434,0,0.159264892339706,0,0,0.215211495757103,0
"2",0,1,0.311323612928391,0.151445209980011,0,0.116025097668171,0.127102464437485,0,0,0
"3",0.0525199323892593,0.311323612928391,1,0.288509875535965,0,0,0,0,0,0
"4",0.117693431675434,0.151445209980011,0.288509875535965,1,0,0.050536647439003,0,0,0,0
"5",0,0,0,0,1,0,0.257177978754044,0,0,0
"6",0.159264892339706,0.116025097668171,0,0.050536647439003,0,1,0,0,0,0
"7",0,0.127102464437485,0,0,0.257177978754044,0,1,0,0,0.28218412399292
"8",0,0,0,0,0,0,0,1,0,0
"9",0.215211495757103,0,0,0,0,0,0,0,1,0
"10",0,0,0,0,0,0,0.28218412399292,0,0,1
