,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.149504118,0.087879073,0.120467527,0.078138249,0.121192898,0.092311832,0.047806521,0.096744139,0.097118066,0.108837578
BK,0.105001412,0.161721188,0.109572362,0.067870063,0.106083644,0.100915691,0.035361052,0.091115674,0.101707726,0.120651189
C,0.117917009,0.07605284,0.157801736,0.088200211,0.122244827,0.093079013,0.052641004,0.093646938,0.096906792,0.10150963
GS,0.100563726,0.069980095,0.111021555,0.150086432,0.124681306,0.098607352,0.04930005,0.089545411,0.094651514,0.11156256
JPM,0.102685825,0.079145855,0.113836741,0.086629614,0.155456459,0.081500398,0.054043245,0.099861907,0.11122379,0.115616166
MS,0.109942499,0.090205906,0.114063092,0.091626455,0.109596252,0.147389058,0.038696287,0.08965756,0.09094902,0.11787387
TD,0.09095185,0.074608935,0.102175505,0.082295902,0.11211441,0.073999896,0.131346585,0.098583803,0.116006047,0.117917067
TFC,0.09437687,0.074161431,0.103756244,0.078332499,0.109444237,0.075820579,0.055867104,0.163326305,0.129155897,0.115758834
USB,0.091683346,0.079800289,0.104662018,0.073126328,0.114273814,0.074358759,0.058185685,0.113090754,0.165870017,0.124948991
WFC,0.095373631,0.080643308,0.1050615,0.078434996,0.113062625,0.082735887,0.04762015,0.093910288,0.11206397,0.191093645
