    ,    MS,   JPM,   BAC,     C,   WFC,    GS,   USB,    TD,    BK,   TFC,  FROM
MS  ,17.03,10.49,11.41,11.39,7.88,12.1,9.12,6.73,5.46,8.38,8.3
JPM ,9.83,14.31,12.15,11.51,8.33,10.38,10.81,6.64,6.29,9.75,8.57
BAC ,10.39,11.45,13.74,11.39,8.45,10.36,10.83,6.82,7.06,9.52,8.63
C   ,10.49,11.6,12.08,14.58,8.19,10.66,9.62,6.9,6.77,9.1,8.54
WFC ,9.21,10.35,11.2,9.99,17.19,9.06,10.89,6.41,5.88,9.82,8.28
GS  ,11.6,11.04,11.49,11.27,7.84,15.42,9.28,6.9,6.01,9.16,8.46
USB ,9.12,11.32,11.86,10,8.84,9.21,15.67,6.35,6.68,10.95,8.43
TD  ,9.53,9.34,10.68,10.02,7.28,9.56,9.38,20.42,5.41,8.38,7.96
BK  ,7.66,9.91,10.92,10.32,6.82,8.78,10.03,4.95,22.77,7.84,7.72
TFC ,9.02,10.81,11.3,10.11,8.87,9.75,12.04,6.42,5.72,15.96,8.4
TO  ,8.68,9.63,10.31,9.6,7.25,8.99,9.2,5.81,5.53,8.29,83.29
