,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.783679221,0.000211521,0,0,0.025315244,0,0.011880057,0.099641397,0.022735074,0.056537487
JPM,0.040479717,0.699588731,0,0,0.001259031,0,0.0028244,0.175350968,0.015927067,0.064570086
BAC,0.053190401,0.000122209,0.718756916,0,0.00238873,0,0.001213552,0.189897051,0.001765849,0.032665292
C,0.027438536,0.002782307,0,0.549457183,0.002884446,0,0.07781967,0.144521241,0.000452866,0.194643751
WFC,0.064548329,6.07E-05,0,0,0.792430795,0,0.000962084,0.115903843,0.009859113,0.016235097
GS,0.015291258,0.000164911,0,0,0.003041828,0.78983198,0.007128803,0.138493607,0.001968327,0.044079285
USB,0.025706988,0.000174332,0,0,0.000879107,0,0.766173249,0.157746856,0.002722266,0.046597202
TD,0.022788682,0.000247068,0,0,0.000504634,0,0.000321357,0.906819223,0.003279946,0.06603909
BK,0.025148523,0.000122733,0,0,0.000960321,0,0.000356543,0.157007011,0.78359956,0.032805308
TFC,0.079885405,0.002742628,0,0,0.002864185,0,0.001153004,0.169350197,0.010925526,0.733079055
