"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.094475619494915,0,0.0862395167350769,0.409317195415497,0,0.203360766172409,0.119172535836697,0
"2",0,1,0.383125782012939,0.154575407505035,0.0384761691093445,0.122058935463428,0.0208918079733849,0.0758490413427353,0,0.0353192090988159
"3",0.094475619494915,0.383125782012939,1,0.0365109145641327,0.26213014125824,0,0.0765724554657936,0.142333164811134,0.213741093873978,0.135023593902588
"4",0,0.154575407505035,0.0365109145641327,1,0,0.277199804782867,0.226059347391129,0.0447861775755882,0.137024730443954,0.169706881046295
"5",0.0862395167350769,0.0384761691093445,0.26213014125824,0,1,0,0.220553129911423,0,0,0.0848142504692078
"6",0.409317195415497,0.122058935463428,0,0.277199804782867,0,1,0,0,0.0015571266412735,0
"7",0,0.0208918079733849,0.0765724554657936,0.226059347391129,0.220553129911423,0,1,0.0888059437274933,0,0.268646776676178
"8",0.203360766172409,0.0758490413427353,0.142333164811134,0.0447861775755882,0,0,0.0888059437274933,1,0,0
"9",0.119172535836697,0,0.213741093873978,0.137024730443954,0,0.0015571266412735,0,0,1,0
"10",0,0.0353192090988159,0.135023593902588,0.169706881046295,0.0848142504692078,0,0.268646776676178,0,0,1
