"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.12848536670208,0,0.0705157443881035,0.416839927434921,0,0.212139323353767,0.105376817286015,0
"2",0,1,0.430337339639664,0.100000753998756,0,0.115819074213505,0,0.030369870364666,0,0.0191989988088608
"3",0.12848536670208,0.430337339639664,1,0.122402414679527,0.199904516339302,0,0.141302764415741,0,0.097663052380085,0.0956106334924698
"4",0,0.100000753998756,0.122402414679527,1,0,0.27537789940834,0.215925335884094,0,0.0753233432769775,0.140945300459862
"5",0.0705157443881035,0,0.199904516339302,0,1,0,0.211059555411339,0,0,0.0978336185216904
"6",0.416839927434921,0.115819074213505,0,0.27537789940834,0,1,0,0,0,0
"7",0,0,0.141302764415741,0.215925335884094,0.211059555411339,0,1,0.0755920708179474,0,0.286272317171097
"8",0.212139323353767,0.030369870364666,0,0,0,0,0.0755920708179474,1,0,0
"9",0.105376817286015,0,0.097663052380085,0.0753233432769775,0,0,0,0,1,0
"10",0,0.0191989988088608,0.0956106334924698,0.140945300459862,0.0978336185216904,0,0.286272317171097,0,0,1
