"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0.0982056185603142,0,0.10040333122015,0.406176835298538,0,0.211514532566071,0.128485113382339,0,0.0254562944173813,0,0,0,0,0.0175348091870546
"2",0,1,0.37268653512001,0.169914066791534,0.0489480569958687,0.113831602036953,0.0274966880679131,0.0880999565124512,0,0.0431823879480362,0.0556004419922829,0,0,0,0,0
"3",0.0982056185603142,0.37268653512001,1,0.0362545549869537,0.245893880724907,0,0.0710699930787086,0.117709651589394,0.202616512775421,0.125967711210251,0,0,0,-0.0138450916856527,0,0
"4",0,0.169914066791534,0.0362545549869537,1,0,0.266349673271179,0.2255729585886,0.0443251058459282,0.138640254735947,0.167367815971375,0,0,0,0,0.00182749330997467,0
"5",0.10040333122015,0.0489480569958687,0.245893880724907,0,1,0,0.222621992230415,0,0,0.0860005021095276,0,0,0,0,0,0
"6",0.406176835298538,0.113831602036953,0,0.266349673271179,0,1,0,0,0,0,0,0,0,0,0,0
"7",0,0.0274966880679131,0.0710699930787086,0.2255729585886,0.222621992230415,0,1,0.0909595936536789,0,0.272075861692429,0,0,0,0,0,0
"8",0.211514532566071,0.0880999565124512,0.117709651589394,0.0443251058459282,0,0,0.0909595936536789,1,0,0,0,0,0,0,0,0
"9",0.128485113382339,0,0.202616512775421,0.138640254735947,0,0,0,0,1,0,0,0,0,0,0,0
"10",0,0.0431823879480362,0.125967711210251,0.167367815971375,0.0860005021095276,0,0.272075861692429,0,0,1,0,-0.00561593845486641,0,0,0,0
"11",0.0254562944173813,0.0556004419922829,0,0,0,0,0,0,0,0,1,0,0.254787921905518,0,-0.0456339493393898,0
"12",0,0,0,0,0,0,0,0,0,-0.00561593845486641,0,1,0.470650047063828,0,-0.27056747674942,0
"13",0,0,0,0,0,0,0,0,0,0,0.254787921905518,0.470650047063828,1,0.199187248945236,0.250808358192444,0
"14",0,0,-0.0138450916856527,0,0,0,0,0,0,0,0,0,0.199187248945236,1,0.119426093995571,0
"15",0,0,0,0.00182749330997467,0,0,0,0,0,0,-0.0456339493393898,-0.27056747674942,0.250808358192444,0.119426093995571,1,0
"16",0.0175348091870546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
