"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0.0860205143690109,0.155492514371872,0,0.217478603124619,0,0,0.308921337127686,0,0,0,0,0,0,0
"2",0,1,0.340628743171692,0.190917134284973,0,0.151360601186752,0.186844363808632,0.0905714780092239,0,0.011254514567554,0,0,0,0,0,0
"3",0.0860205143690109,0.340628743171692,1,0.293904602527618,0.038699384778738,0.0394936986267567,0,0,0.0632097795605659,0.0840671062469482,0,0,0,0,0,0
"4",0.155492514371872,0.190917134284973,0.293904602527618,1,0.0922714471817017,0.0765006318688393,0,0,0,0,0,0,0,0,0,0
"5",0,0,0.038699384778738,0.0922714471817017,1,0.0453350581228733,0.277590543031693,0,0.112710803747177,0,0,0,0,0,0,0
"6",0.217478603124619,0.151360601186752,0.0394936986267567,0.0765006318688393,0.0453350581228733,1,0,0,0,0.0627582594752312,0,0,0,0,0,0
"7",0,0.186844363808632,0,0,0.277590543031693,0,1,0,0,0.338440597057343,0,0,0,0,0,0
"8",0,0.0905714780092239,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9",0.308921337127686,0,0.0632097795605659,0,0.112710803747177,0,0,0,1,0.0290221814066172,0,0,0,0,0,0
"10",0,0.011254514567554,0.0840671062469482,0,0,0.0627582594752312,0.338440597057343,0,0.0290221814066172,1,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0.170140743255615,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0.272424578666687,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0.272424578666687,1,0.254607021808624,0.263948947191238,0.0324746631085873
"14",0,0,0,0,0,0,0,0,0,0,0.170140743255615,0,0.254607021808624,1,0.0118089905008674,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0.263948947191238,0.0118089905008674,1,0.0670005232095718
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.0324746631085873,0,0.0670005232095718,1
