"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.149580255150795,0,0.132241800427437,0.451864451169968,0,0,0,0
"2",0,1,0.456819117069244,0.119497425854206,0,0.0769865065813065,0.114184103906155,0.0159083977341652,0,0.216044068336487
"3",0.149580255150795,0.456819117069244,1,0,0.0858917459845543,0,0.0759686082601547,0.100530862808228,0.161726087331772,0.148522898554802
"4",0,0.119497425854206,0,1,0,0.290306627750397,0.162543475627899,0,0.206666141748428,0.0870391055941582
"5",0.132241800427437,0,0.0858917459845543,0,1,0,0.272774159908295,0,0,0.134509474039078
"6",0.451864451169968,0.0769865065813065,0,0.290306627750397,0,1,0.0789817571640015,0.0352393835783005,0.0626320019364357,0
"7",0,0.114184103906155,0.0759686082601547,0.162543475627899,0.272774159908295,0.0789817571640015,1,0.384351700544357,0.0156055837869644,0.0547031462192535
"8",0,0.0159083977341652,0.100530862808228,0,0,0.0352393835783005,0.384351700544357,1,0,0
"9",0,0,0.161726087331772,0.206666141748428,0,0.0626320019364357,0.0156055837869644,0,1,0
"10",0,0.216044068336487,0.148522898554802,0.0870391055941582,0.134509474039078,0,0.0547031462192535,0,0,1
