,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.686935589,0.067765607,0.031358219,0.007866066,0.004290468,0.002683875,0.011078931,0.085329635,0.013493646,0.089197963
BK,0.024831636,0.716504349,0.018549301,0.007515611,0.000743113,0.033344731,0.00942254,0.086186883,0.012504911,0.090396925
C,0.0085128,0.024816034,0.676233399,0.012156605,0.001943647,0.000356057,0.016012433,0.127801937,0.009909426,0.122257661
GS,0.00565248,0.030969292,0.011218595,0.705765251,0.044753554,0.000605813,0.012104542,0.079018981,0.008718219,0.101193273
JPM,0.003420319,0.040237851,0.016139397,0.008936572,0.672243008,0.000188691,0.021232498,0.122043573,0.014595241,0.100962851
MS,0.025540193,0.078758378,0.013812212,0.008345557,0.010521257,0.64705669,0.010343702,0.090430082,0.008060128,0.107131802
TD,0.001748769,0.027073232,0.016322779,0.009568918,0.002741034,0.00153242,0.690874594,0.110610337,0.030610914,0.108917003
TFC,0.000272702,0.007798166,0.034469115,0.013211293,0.00238041,0.009069213,0.034070057,0.691886266,0.016428131,0.190414648
USB,0.00057155,0.022729687,0.04577488,0.01799283,0.002578487,0.012629241,0.028900824,0.17969199,0.531437849,0.157692663
WFC,0.000143074,0.009578016,0.021655183,0.045731198,0.010487837,0.001907509,0.024516001,0.18659961,0.017121418,0.682260153
