"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.462202620346047,0.203960945909212,0.25432759536359,0.240574887827911,0.532887923211878,0.186965837841322,0.870981147366365,0.263686973767936,0
"2",0,0,0.788155636406306,0.553599417322798,0,0.449446515468234,0.524258506074843,0,0.591698899619951,0.922896688603958
"3",0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0.441026912242146,0,0,0,0,0
"8",0,0.494042120158043,0,0,0,0,0.287197326498955,0,0,0
"9",0,0,0,0.19230038074204,0,0,0,0,0,0
"10",0,0,0,0,0.283806954554119,0,0,0,0,0
