"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,0,0.0834983363747597,0.18655651807785,0,0.230468973517418,0,0.0346231609582901,0.302645027637482,0.0161773860454559,0,0,0,0,0,0
"2",0,1,0.268914937973022,0.167381182312965,0.0175461024045944,0.175253629684448,0.113919615745544,0.171920135617256,0.00811485946178436,0.0798071399331093,0,-0.0844772607088089,0,0,0,0
"3",0.0834983363747597,0.268914937973022,1,0.286830544471741,0.0875206217169762,0.0392915010452271,0,0.034952238202095,0.116180136799812,0.0885144770145416,0,0,0,0,0.0461122207343578,0
"4",0.18655651807785,0.167381182312965,0.286830544471741,1,0.123903319239616,0.112782143056393,0,0,0,0,0,-1.77845358848572e-05,0,0,0,0
"5",0,0.0175461024045944,0.0875206217169762,0.123903319239616,1,0.0667554289102554,0.323377221822739,0,0.111173868179321,0.0133274346590042,0,0,0,0,0,0
"6",0.230468973517418,0.175253629684448,0.0392915010452271,0.112782143056393,0.0667554289102554,1,0,0.0517134219408035,0,0.067449539899826,0,0,0,0,0,0
"7",0,0.113919615745544,0,0,0.323377221822739,0,1,0.158941924571991,0.019661158323288,0.344381183385849,-0.0224020965397358,-0.000848311930894852,0,0,0.0207465216517448,-0.00813156738877296
"8",0.0346231609582901,0.171920135617256,0.034952238202095,0,0,0.0517134219408035,0.158941924571991,1,0,0.0591829344630241,0,-0.0277079045772552,0,0,0,0
"9",0.302645027637482,0.00811485946178436,0.116180136799812,0,0.111173868179321,0,0.019661158323288,0,1,0.0479788035154343,-0.0733995661139488,0,0,0,0.00304815173149109,0
"10",0.0161773860454559,0.0798071399331093,0.0885144770145416,0,0.0133274346590042,0.067449539899826,0.344381183385849,0.0591829344630241,0.0479788035154343,1,-0.0294578820466995,0,0,0,0,0
"11",0,0,0,0,0,0,-0.0224020965397358,0,-0.0733995661139488,-0.0294578820466995,1,-0.0339583158493042,0.28454664349556,0.0239055603742599,-0.00993761420249939,0
"12",0,-0.0844772607088089,0,-1.77845358848572e-05,0,0,-0.000848311930894852,-0.0277079045772552,0,0,-0.0339583158493042,1,0.169667363166809,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0.28454664349556,0.169667363166809,1,0.190202653408051,0.100771903991699,0.0965106710791588
"14",0,0,0,0,0,0,0,0,0,0,0.0239055603742599,0,0.190202653408051,1,0.23799966275692,0
"15",0,0,0.0461122207343578,0,0,0,0.0207465216517448,0,0.00304815173149109,0,-0.00993761420249939,0,0.100771903991699,0.23799966275692,1,0.0492412745952606
"16",0,0,0,0,0,0,-0.00813156738877296,0,0,0,0,0,0.0965106710791588,0,0.0492412745952606,1
