"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.727331554820985,0.198461231225996,0.306836621834039,0.313672158417057,0.399894664211739,0,0.154166143597099,0.536257011999028,0.11262590077692
"2",0,0,0.449620821295734,0.476336260932439,0.523355854463398,0.499263085993979,0.469745803041698,0.379519453489239,0,0.127478536085559
"3",0,0,0,0,0,0,0,0,0,0.194794137723524
"4",0,0,0.326938845605537,0,0,0,0,0,0,0
"5",0,0,0,0.18329553079336,0,0,0.429751707490178,0,0.315306097473222,0
"6",0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0.236161638219206,0,0.475902935633886
"8",0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
