    ,   BAC,    BK,     C,    GS,   JPM,    MS,    TD,   TFC,   USB,   WFC,  FROM
BAC ,18.08,8.31,12.37,8.12,12.05,9.69,4.82,8.67,8.48,9.42,8.19
BK  ,10.76,21.24,10.36,6.28,9.67,10.99,2.37,7.99,9.19,11.16,7.88
C   ,12.89,7.09,19.02,9.34,12.12,9.78,4.44,8.47,8.38,8.47,8.1
GS  ,10.59,5.85,10.89,20.34,12.45,10.7,4.12,8,7.49,9.57,7.97
JPM ,11.23,7.37,11.43,9.14,18.5,7.9,5.13,8.96,10.16,10.18,8.15
MS  ,11.72,9.45,11.19,10.02,10.06,19.21,2.83,7.65,7.3,10.57,8.08
TD  ,9.38,5.62,8.97,8.06,10.32,6.25,23.38,7.83,10.33,9.85,7.66
TFC ,9.85,6.84,9.67,7.84,10.09,7.16,4.8,20.65,13.1,9.99,7.93
USB ,9.28,7.82,9.68,6.55,10.92,6.66,5.24,11.56,20.79,11.51,7.92
WFC ,9.65,7.75,9.81,7.76,10.74,8.16,3.97,8.16,10.28,23.7,7.63
TO  ,9.53,6.61,9.44,7.31,9.84,7.73,3.77,7.73,8.47,9.07,79.51
